lemmatized,Sentiment
point regret buy op nord 2 brightness use brightness upto mark op 5 well brightness good people dark mode surely deal breaker display font 3 option min default max uncomfortable app specially app like whatsapp deal breaker audio quality earphone connector sq avg great justify 30 k speaker quality decent like phone close samsung s series camera screen mode picture zoom selfie pq decent close samsung contact info lock screen t find far update receipt product order 26 th deliver today explore phone completely thing catch attention manufacture oppo review youtube damn pay mint money manufacturer mention question oneplus team oneplus brand completely take oppo premium oneplus brand charge phone yes phone launch oppo s brand price 2 k 5 k cheap sure deduct 2 star atm 3 rd phone oneplus brand yes word brand come review later price product proposition originality oneplus brand yes news op n 2 blast new phone lady ride bicycle s scary,Positive
receive defective phone storage show application keep close min unable download app camera work raise return 28 th wait pickup phone,Neutral
review go bit long m write review month extensive usage order day product available expect get deliver 2 day thumb huawei honor play previously get 3 ota update period build quality good build quality gorilla glass 5 frame plastic dealbreaker d button nice clicky iconic alert slider work display come phone have ip panel love display say ve bit bright legibility direct sunlight great watch movie video excellent hdr support netflix miss hardly matter display fingreprint sensor work fine 95 time ocassion fingerprint icon homescreen software ad free bloatware free clean ui aod work ota update get bug free like realme redmi speaker haptic sterio speaker outstanding high volume wouldn t feel distortion haptic good camera 50 mp primery camera blow away image turn notch low light condition 8 mp ultrawide camera kind okay ish ve give 12 mp sensor instead useless monochrome 2 mp sensor face 32 mp camera good job decent lighting condition hdr algorithm tend blow detail brightly light condition battery charge m person internet turn wifi mobile datum ma away home easily get screen time 6 7 5 hrs wifi 5 6 hrs mobile datum btw utilize sim slot airtel jio charge time crazy 10 100 25 minute 65 w charger include box omg quality network reception excellent take long call 30 minute earpiece wasn t get hot performance game excellent performamce feel lagginess stutter scroll instagram feed super smooth thank 90 hz refresh rate play bgmi genshin impact ease smooth 60 fps medium 30 fps setting respectively get 50 52 fps thoughout bgmi 24 27 fps genshin impact phone bit hot play genshin impact 30 minute surprising get 8 128 varient rs 28 250 1750 discount hdfc bank debit card cost 6 month emi display 7 10 quality 9 10 camera rear 8 10 camera selfie 7 10 battery 8 10 speaker haptic 8 10 performace game 8 10 value money 9 10 hope guy find review useful,Positive
get totally disappointed initial impression amazing get product hand unhappy oneplus issue face s 65 w fast charger take 3 hour takeupto 70 battery complete charge phone suddenly show 1 charge second 30 min show charge 70 don t know thing call phone hang connect charger display touch fingerprint sensor work charge battery drain fast give 1 star rating option 0 star donno issue oneplus issue seller send damaged product s total disappoinment,Negative
heat battery drain fastly,Neutral
new phone purchase launch date show warranty email reply plus customer care response instagram inform drop mail 48 hour response time warranty base luck u buy beware oneplus customer care issue,Positive
1 camera quality like 5 mp indoor outdoor camera ok potrate mode white balance good 2 10 100 charge 22 min battery drain fast 3 face heat issue normal use 4 display performance goodmy 3 yr old oneplus 6 t 16 mp camera capture image well mobile m disappointed phone previously oneplus 6 t 7 t pro order blindly oneplus fool,Neutral
short day review oneplus nord 2 8 gb 128 phone work smoothly lagsbattery drain normal ratewarp charger 65 w charge phone 100 25 min 1 2 hourgood camera need check outside know moreno audio jackseparate button right phone alert adjust phone silent vibrate generalphone bit heavyfingerprint sensor work properly lagssound sufficiently loudoverall good phonewhat didn t like sound quality listen music earphone feel unpleasant pierce earbud experience bad good bad sound quality t bear plus compromise sound quality phone,Neutral
camera ok ve face heating issue sprat ok,Neutral
bad display experience 470 smartphone mere 100 motorola phone well display quality compare 470 trash selling point display 90 hz refresh rate price point manufacturer like samsung provide 120 hz display personally nt care refresh rate 60 hz display well quality similar samsung 71 s display definitely give well rating display terrible nord 2 actually get nerve pay 470 trash wonder demo version nord 2 available retail store oneplus not actually want experience display prior purchase reason go ahead purchase amazon display advertise amole way comparable samsung amole look like cheap display cab driver navigation battery life not impress think mainly 90 hz refresh rate unoptimized software moment display turn battery start drain significantly rate 15 20 hour reset phone factory setting battery life slightly improve discharge rate got slightly reduce wish take screenshot battery report perform reset comparison current battery report battery discharge rate slightly well require optimisation prior reset heating issue noticeable extent reviewer mention reset not observe issue maybe reason improvement battery life give recent report explosion nord 2 device india long confidence battery quality thing case explosion nord 2 compensate buyer try news radar recent explosion aware event know incident buy phone phone suppose gift mum long go hand s tech savvy person not realise device heat continuous usage battery issue go risk life maybe s manufacturing issue relate battery maybe s human error external factor involve way distrust remedied oneplus release official statement try hide incident relate explosion mediatek density chipset actually perform surprise application install quickly loading time app low comparison samsung 71 s snapdragon 730 g like know benchmark score watch video gary explain youtube channel speedtest g upload benchmarke video nord 2 sound quality external speaker loud clear sound good watch video listen music sadly s headphone jack camera quality bad expect 470 smartphone comparison 450 lg g 5 buy 2016 nord 2 s camera poor worth cost pay try use hdr mode make photo quality terrible conclusion recommend phone go oneplus device ill purchase not usually write review display pathetically bad overall quality phone poor consider 470 price tag write maybe display good consider give benefit doubt factor wish amazon device refund money sincerely hope amazon take request consideration like want phone refund money,Positive
review phone 2 week camera averagebattery life goodfingerprint reader averagevideo quality excellent productface unlock averageperformance average,Neutral
start ve exynos 990 s 20 16 month main reason switch flagship flagship killer performance battery boy phone impress ve list pro con help decision pro 1 excellent performance absolutely frame drop gaming heating reasonable feel uncomfortable literally throw mediatek processor breeze 2 display beautiful guy s samsung 120 hz win t notice 30 hz drop direct comparison s definitely difference device primarily 3 camera contrary youtuber s review m impressed picture turn good absolutely consisitency shot photographer doesn t confidence primary shooter 7 10 shot turn good decent give price point list camera pro device night mode camera good 4 battery charge phone truly triumph simply kill day constant screen time 7 hour warp charge s pure magic charge time phone 20 min everyday end everyday 20 30 remain charge 20 100 20 min con 1 speaker loud lack bass doesn t depth audio come 2 weight s 189 gram paper weight distribution phone pretty bad feel bulky hold certainly heft 3 volume button software relate weird volume level interval phone equally space s soft loud s constant struggle find middle ground final verdict clearly pro phone far outweigh con true flagship killer glad declare oneplus finally good old day make flagship killer phone receive 5 star give price point come s practically flawless,Positive
update review comment note return phone refund issue amazon technician online diagnostic confirm device battery temperature abnormal heavy usage let detail con pro apparent phone release proper performance ui testing con 1 heating issue mild usage device heat way couldn t touch phone comfortably software update receive august 3 rd rectify heating issue inform oneplus directly say team work s software issue fix immediately priority 1 issue s hardware relate issue sure 2 oxygen os ui color os integration realme 6 pro phone ui oneplus nord 2 look 90 similar realme ui color os oneplus die hard fan terribly disappoint camera ui look exactly realme 6 pro phone business mindset oppo oneplus ruin legendary oxygen os bad job oppo oneplus 3 ui feature irony disappointing thing oxygen os integrate color os reason good feature color os omit dual sim display dialer user manually select sim customize option set daily mobile datum limit tap lock screen snooze alarm need slide snooze okay good lazy people feature dolby atmos dirac support bluetooth headphone come oneplus 3 5 mm headphone jack guy think sound speaker public place enjoy dirac dolby atmo sound wait phone speaker good bass pub ic disappoint sound failure 32 mp camera good paper work great multiple youtuber s review don t word experience software update option update strange secret d able change prior perform software update option schedule night mode option sunset sunrise mandatory option schedule time option available color os realme ui pro 1 rear camera decent performer don t expect color don t look natural mention youtube reviewer s bad low light night mode performance good don t expect 2 5 g band support wide variety 5 g band sure s big advantage n 78 band popular worldwide 5 g phone n 78 good thing wide variety 5 g band 3 ergonomic phone easy hold big screen like realme 6 pro disappoint 4 display good crisp good color vivid gentle srgb mode perform refresh rate 90 hz adequate overall don t buy phone expectation high base oneplus brand issue mention fix software update s ok patient wait update think buy,Positive
great sinply awesome aspect great camera display charge speaker great pricing worthy upgrade nord 1,Positive
firstly m technical review writer sum simple word don t pay attention negative review trash pro phone easy handle camera ar good range good segement battery performance pretty descent charge day sufficient browse gaming listen audio watch 2 movie charge think battery percentage 20 ain t matter get 65 w warp charge 20 25 min battery badass stun outstanding charging love 90 hz refresh rate pretty good 120 woulda peak con default music app expandable memory storage,Positive
plus 5 4 year performance excellent experience purchase oneplus nord 2 friend day display go toss unlock phone fingerprint pin display go screen blank phone gets heat didn t expect kind basic issue premium phone submit phone oneplus service station wait replacement embarrassing situation strongly recommend phone friend,Positive
neplus shame product don t fool customer oneplus nord 2 build quality cheap kind product price 7 k 8 k buyer think suppose buy oneplus phone think 100 time,Negative
buy oneplus nord 2 week long wait love phone brilliant camera quality great look feel soft smooth phone come integrated google app google inbuilt phone significant oneplus addition bad default app use google caller app come stupid record feature notify party active record got annoy party ask stop recording s personal security enhancement s necessary deal issue like nord 2 s camera resolution advanced touch screen,Positive
wrost product life time belive plus phone phone break belive plus brand not compare apple wrost product plus nord 2 lot hang problem,Negative
usual oneplus phone launce big hype s oneplus device 5 6 day initial use point note think buy pro 1 superfast speed term app load app installation day day usage 2 charger 20 100 charge 30 min 3 camera rear main camera superb test fully camera complain far upgrade samsung galaxy m 51 colour accuracy well nice filter 4 screen unlock fingerprint face unlock real fast 5 haptic super smooth love type 6 box content tpu case good quality 7 finally phone build s superb look feel premiumcon 1 app bug prime video take 3 4 day finally play hd quality video 2 truecaller issue doesn t instantly show caller unknown number hope gets sort update 3 app notification app delay notification issue specially outlook playstoreother thing battery touch base s 1 day battery screen time 5 6 hour max contentious point pro con stereo speaker app sound crisp clear loud call loudspeaker sound get low volume care,Positive
purchase oneplus nord 2 5 g gray sierra 8 gb ram 128 gb storage brother 15 th august 2021 deliver 19 th august 2021 phone start have issue camera hang 24 th august try return 26 th august connect customer care get reply technician visit 28 th august bt till date technician visit response amezon aswell 30 k small,Neutral
dropping problem persist fix asap review 2 week colour blue haze size 12 gb ram 256 gb storagemajor drawbk 1 dropping problem huge call automatically cut 2 call show mobile switch mamy time 3 battery life drain fast 4 camera quality update update,Negative
camera mark performance wise s extraordinary phone,Neutral
receive phone today delivery good write review day add later day buy phone hear lot good comment feedback plus phone phone phone disappoint specially camera s poor previous phone vivo v 9 far well camera quality nord 2 sound quality ok ok thing good come know day important thing find unusual want share complete initial set click pic open gallery photo find folder contain 10 photo pic wallpaper type check detail show date 20 th august disappointed give feel receive refurbish phone check plus feature ok camera music poor write detail day,Positive
hidon t expect plus redicolous charge keep aside battery got drain use night 4 hour phone getting heat open don t use heat think issue brand complain plus purchase plus 8 time happy plus issue brand need look want return phone,Neutral
yes invest read review state doesn t support app camera quality good poor battery life etc try honest review thing love s blotware change phone xiaomi oneplus great decision merge eith oppo don t ad blotware great secondly didn t face issue launch app screen super smooth ram management good hour app run background continue leave problem like point fingerprint mark take try unlock face unclock good s headphone jack purchase type c headphone jack connector thirdly camera quality good low light manage capture jaw dropping pic bit disappointed video rhey well give option record 4 k 60 fps bit pretty good video stabilisation ggood comparison device price segment lastly battery life okay ish heavy user minimum screen time 8 hour day need charge 2 time day 90 hz refresh rate charger balance charge upto 98 0 30 minute amazing conclude well option price segment product worth invest shortlist plan buy cellphone budget 30 k yes s bit heating issue heavy task didn t feel s heared level blast extreme heating test prefer tech bar s oneplus nord 2 extreme heating test thing clear thank,Positive
phone month love camera quality good finger print scanner sound battery life responsiveness great charge 0 100 15 min good oneplus user experience easy operate phone gesture frequently stuff amazing torch screenshot awake unlock choose 2 app quick access let s paytm frequently set way directly launch unlock gesture amazing make handed usage convenient phone notch phone price segment high one,Positive
30 k give good flagship experience battery last 17 hrs say camera quality superb issue want concern recent blast phone assure likely lack use 65 w warp charger fast charge 90 20 min heat generate advise overcharge use phone charge safety priority forr mi 11 x,Positive
m 70 satisfied product s good mobile quick charging usp mobile bluetooth configuration good touch sensor fast respond slow unlock phone m satisfied deal get amazon show actual price product 34 999 give discount prime deal final price 29 999 receive box shocked mrp product 29 999 amazon bluff user show offer sell product actual price s actually fair trust amazon alot betray lot user bluff application request user cross check discount price amazon actual mrp product purchase happen bluff good offer discount,Positive
product work good fear shocking news explosion mobile set mind request manufacturer necessary action resolve problem s sensitive case customer safety purpose,Neutral
day instant regretis like phone don t know ve scamme oneplus deteriorate reason buy phone camera poco f 1 adware bloatware cleared nord 2 stand close f 1 go series traumatic episode click camera mode s result immediately apply return pop clause item bring exchange option sit cry wrong decision yes phone plug charge evaporate tear drop play heavy game turn phone heater thing like phone smooth scroll oxygen os clean phone case include overall don t buy kiddingedit explode incident circulate social medium phone heat dangerously wish refund,Neutral
oneplus nord 2 vs poco f 3 day 3 watch lot video finalize video say poco f 3 1 nord minor difference 1 sound far well brand poco decide 1 1 fan 1 1 launch verdict poco f 3 well f 1 3 year previous 1 1 1 6 issue finger print sensor slowcamera quality good macro zoom focus badface recognition rarely worksphone biggerphone battery work day poco f 1 positive security betterno irritate advt poco read data include contactsauto unlock home good featurecharging fastbottomline want well brand oneplusif want well overall phone poco f 3,Positive
worth 29999 good phone charge charge 30 min want battery healthy charge phone 15 20 85 90 charge 100 phone give good charge speed camera awesome 1200 ai equal 870 sd ois work perfectlyuse 4 day issue face screen fluid say overall want buy phone class 30 k exchangejust close eye,Positive
work issue follow 1 camera kinda hazy 2 change accent color require bit option 3 monochrome sensor good give macro improvement update t change camera sensor overall promising device personally opt device oneplus 3 work 5 year device like earbud tv oneplus oneplus give good customer service frankly listen customer time ask oneplus feature oneplus 3 give update ask reason feel oneplus nord 2 good device price,Positive
good mobile mark price tag 30 k worth feel privious mobile nokia 8 1 premium oneplus nord 2 mobile long term 2 day feel software update know exactly perform stretch watch youtube contact hd fhd 4 k contact reading attend call go specification daily stuff give battery 8 hour screen time charger 40 minute 0 100 come pro cons pro 1 build quality design simple elegant strictly work professional 2 touch smooth 3 camera picture video quality good 4 stereo speaker loud clear 5 quality good 6 battery last good 8 hour screen time 7 charge fast 40 minute 8 play game asphalt 9 give good feel 9 ram management good 10 bluetooth connectivity fast 11 2 year os update 3 year software update con 1 heat normal usage clear software update 2 don t feel processor powerful md 1200 ai s mark device 3 take lot time boot get restart load game app 4 heavy gamer avoid think buy play game 5 benchmark poor device check mobile kindly check oneplus team mention launch mobile check picture attach value money buy long term like 3 4 year usage check nord 2 battery attachment 2 day experience varied user user,Positive
simply flagship killer plus fast smooth flawless operating system decent camera sound quality overall enrich feature value money thank amazon fast delivery,Positive
return unit poor battery charge 2 time day new requires charge 1 5 day decent consider high end motherboard pros 1 good time buyer oneplus series canvas option display 2 snappy phone fast response dimensity 1200 chipset superb battery drain 3 support quick android update 4 charge time warp charging super generally charge 40 min 5 minskey charge charge 100 require charging show charge discharge check battery section observe status con 1 battery life forte warp charge fill gap provide extremely fast charging btw second model return unit provide well battery backup 1 1 5 day complete discharge 2 battery 4500 mah plus good charger huge size actually people photo charger understand impossible carry abnormally big charger 3 abnormal charge rate take 30 min take 40 min take 50 min warp charge deteriorate battery ultimately kill half life 4 doubt color os oxygen os paste skin color os unique charm have oneplus mobile go merger oppo,Positive
awesome camera well charge speed proper clutter free os,Positive
phone great performance wise battery average 65 w fast charging surprise camera 32 mp camera isn t good low light condition camera good want great performance good battery day selfie addict will not disappoint design good premium,Positive
plus team good job appreciate premium look finish glance fabulous camera price point amazing oxygen os experience well speaker yes phone bit warm uncomfortable double thumb couple day usage 1 face unlock notch 2 fingerprint reader slow fraction millisecond don t mind 3 bet good camera segment 4 awesome performance test new chipset lot game bgmi cod nfs high setting didn t frame drop anytime 5 didn t feel need 120 hz display offer silky smooth super responsive display didn t face low brightness issue outdoors 6 warp charge phone new level experience probably fast phone price point battery drain bit soon s absolutely justified device capability 7 ve box cover help block heat long hour usage hopefully issue resolve future software update worth,Positive
get 12 gb ram variant decent phone previous phone oneplus 5 t come feel like phone kind disappointment width phone bit thin liking thing hate software defense not know get bad pro love button feel clicky responsive 65 w charger amazing laptop use 65 w type c charger don t carry extra charger alert slider easy slide compare 5 t got haptic feedback well overall bit disappoint especially software width phone feel good,Positive
plus series phone switch premium oppo phone plus nord 2 choose cameraand happy disappoint battery backup good entire day moderate user t gamer 65 w charger turbo fast charge phone 100 45 min 5 100 processor good face lock feature disappointing case force use finger lock password good 35 k range phone look attractive premium android section,Positive
disappointed kind mobile device provide plus understand flagship product good suffice day day need price 30 k issue face phone 1 slide functionality work home screen 2 defective microphone provide work switch phone speaker 3 frequent loss mobile network unable connect call get resolve start phone support amazon day purchase phone take 10 day amazon understand defective phone provide follow daily basis hour order understand issue pain refund complete exchange previous phone refund non refundable key point 1 plus nord 2 2 amazon crazy order refund replacement available,Neutral
write review week use phone phone look feature define receive defective phone camera work selfie photo open que phone hit problem request technician inspection replacement technical finally come initiate replacement receive brand new phone thank anazonbut problem start new frustrated plus nord 2 model,Negative
primary camera undeniably fantasticnight mode amazinghdr image goodstabilization greatselfie shooter goodwide cam oki camera mono bad performance great efficiency mode turn onbattery efficiency mode turn bout 6 hrs sotcharge 0 100 32 minsdisplay good outdoors problem see direct sunlightcolour good viewing angle great 90 hz 120 big differencetouch response rate shall increasedbuild quality good glass plastic sandwich bgmi work fine frame dropno 90 fps u use config file enable s folkshope help u decision 3 day review,Positive
mind blow,Neutral
problem battery drain fast 5 6 sot bug lag camera quality drastically improve ultra wide pretty avg dislike slightly red tinted 50 mp non hrd image processing fast smooth good,Neutral
update device go start instantly report amazon request return till 15 day go go pick epressedno listen problem,Negative
phone good balance feature 1 camera camera good nice colour reproduction photo come clean s dependable low light condition 2 battery battery backup decent good s good average person fast charging good charge 20 minute 20 percent 80 percent average charge circle 3 screen 90 hz screen actually average user like back good haptic make experience good 4 connectivity 5 g certainly later support career aggregation quality right iphone well average android phone 5 speaker s like mini soundbox truly love s speaker alert slider cherry dependable service centre good software s good phone 30000 doubt,Positive
phone hang 20 day use lag issie restart know fault single piece overall quality expect plus identify phone function properly 7 day delivery happen cell phone performance observe 15 20 day wish option replacement device new,Neutral
writing review month use phone beast term charge camera quality price close flagship phone like pre instal app phone till face lagging phone charge 0 100 30 35 min con 1 charger big socket overlap switch charge 2 digital zoom optical zoom little disappoint,Neutral
order oneplus nord 2 amazon 6 th august 2021 phone day lot issue come phone check regard amazon amazon send technical engineer fully agree say phone write oneplus nord 2 5 g blue haze 12 gb ram 256 gb storage software bug bill attach bad experience moment receive mobile hang slow initial startup device work properly restart time automatically app clone work app mobile mention app clone doesn t clone normal whatsapp chat drive backup work old whatsapp backup go bad bad experience oneplus photo access gallery slow have hundred photo gallery picture time load scroll previous 2 year old phone fare way well software optimization lack,Negative
product beautiful design well core beautiful display 4 week phone see major problem think reason explore 1 fast charge s charge fast u touch ur phone super hot 2 heavy usage effect performance heatup phone 3 camera good phone wide angle primary phone 4 don t use phone charge change 5 min,Positive
buy 1 st day get defective battery product replace 20 day issue battery drain bit fast nord 2 isn t fluid oneplus phone original nord fluid nord 2 camera good don t need e 2 mp camera instead little battery headphone jack atleast adaptor buy separately hand feel awesome display average speaker great camera need improvement 4 k option give case great quality charging good gaming performance good ram management poor total 75 app game ram free 2 4 gb need regular update buy skin gadgedshieldz,Positive
phone slow compare iq 007 camera performance poor compare iq 007 amazon exchange scam small scratch old phone amazon agent reject phone mean exchange brand new phone phone wear tear don t buy,Negative
heating problembattery drain fast need charge twice normal use recommend,Neutral
oneplus nord 2 accompany mediatek density 1200 soc powerful term organization produce buy oneplus nord 2 12 gb ram 256 gb storage amazon want return device return policy amazon 7 day loss 9 k come performence week fine 10 day start show true nature don t know start burn processor phone think usage remember maximum potential low key user second charge device start burn think charge happen early oneplus 5 oneplus 5 t redmi note 6 face issue charge mediatek density soc shouldn t ambient display feature good drain battery level ui design feature drain battery fourth proximity sensor work get know manual diagnosis phone oneplus care app conclusion phone good choice buy mediatek density soc snapdragon don t buy mediatek soc mobile end incur loss 9 k getting rid phone buy feature huge set android device atleast oneplus center guy consider device issue service center guy say smile t submit phone 2 day new phone buy program reduce 20 initial price applicable device country snapdragon 888 soc oneplus 9 pro well low end version note aware buy budget phone compromise specification reduce true value,Positive
get phone exchange offer rs 8000 iphone 7 6 year old vigourous use think review phone actually blow mind screen damn impressed not know process rate damn responsive fast good big enjoy video pixel clearity brightness definitely fall love handset come sound quality give crispy clear balanced surround sound volume loud battery charger get 65 watt charger box damn fast 100 charge take 20 min 38 camera lovely digital video capture outstanding ultimate clearity day night obviously pro like definitely interface clean easy take minute eat battery amazing drain fast will not hardcore gamer watch daily series daily chore perfect kind battery phone cover tampered glass cover come rough tough signature plus cover pre fix tampered glass 8 gb rom 128 gb ram heating m bowl plus handset iphone life sure good smartphone sure,Positive
2 week moderate way like 1 fast charge 2 camera 3 quality 4 noice reduction 5 look 6 yes call oneplus standard dislike 1 price overprice 2 poor build quality chrome start leave paint 2 week default cover screen guard 3 catch dust fabric particle phone need clean pocket screen attract dust fabric particle 4 fingerprint sensor sensitive take 2 sec unlock device 5 face unlock happen face cover mask 6 battery drain fast compare device configuration battery drain fast,Neutral
wait buy phone sale bcoz hype feature finally get m surprised people crazy abt oneplus phone o s tht great user friendly basic thing like 1 dialer app screen image come incoming caller u want search contact u need scroll specific alphabet u need search search bar bar alphabet give u directly jump specific alphabet contact app 2 message m unable find message come sim 1 sim 2 u need long press change sim 1 sim 2 send message 3 calculator pretty basic converter like currency date age speed etc 4 automatic recording option u press recording start automated voice caller record shock 5 battery drain fast normal usage play game take 30 min 0 100 u need 10 min u 40 big plus 6 32 mpx camera sony sensor great redmi note 5 pro deliver well selfie camera ok hdr hdr make skin wrinkly wonder 7 whatsapp video call camera good fiber net speed connection make face look wrinkled noisy clear face come not know 8 screen cast vu tv work m try make phone freezing need exit screencast everytime connect tv u think network issue run smoothly old redmi note 5 pro mobile relate mobile issue wifi device 9 theme available system provide u need apply 5 6 theme default need change wall paper new look 10 appclone dual app available insta fb messenger telegram whatsapp u not use app 11 record folder find file manager search 30 min finally able listen issue o s relate discuss youtube channel review look spec thing annoy daily use small thing worry oneplus bigg brand definitely rate opinion,Positive
firsofall going to review way youtuber going to honest review lay man non techy person understand phone battery life display processor camera performance par excellence phone give type performance oneplus 9 r oneplus 8 good highlight 65 w charger charge phone 100 15 minute phone sturdy look great hand camera 50 mp selfie 32 mp amazing issue phone heating smartware bloatware let come bad start phone ask permission app include camera gallery mean china access picture risk photo get viral permission view data picture chat camera whatsapp work read condition carefully say oneplus hq china share data picture whomever want t hold scary didn t like remember check oneplus nord 2 review video youtube post geeky ranjit dept analysis pro con phone honestly dint wanna chinese brand decide oppo reno 6 price little less 29 990 thot little money get phone good 5 6 year investment oppo wasn t sure durability budget 35 k sure don t save private pic gallery,Positive
pathetic performance major heating issue support oneplus provide debug report necessary input analyse issue support oneplus refer attach response 1 month followup debug issue mainly 1 gpu performance compatibility processor 2 lock cpu cause consumption battery camera videocall net browse cause heating issue 3 lagging power consumption optimization 65 w charger cause heat chargeif interested perform os update advance setting adjust refresh ratio 90 hz reduce gpu cycle switch gpu performance logging end performance reporting log actually help reduce heating issue s temp fix oneplus care problem seriously,Positive
bad camera experience high battery drainage,Negative
monile decent run smooth display good charging fastbut con need mind 1 software trust guy oneplus 5 4 year nord software doesn t feel like oxygen os feel cheap like os 2 enhancement feel cheap camera 3 get heat alot continusly hour start heat charge 20 70 percent heat overall phone normal light user techy people mobile lover plus rely oneplus day go price segment vivo 60 far well s realme x 7 rewlly want cheap software experience,Positive
family plus x 5 6 6 t 7 6 th plus phone probably pro os simple snappylag farbattery charge 100 30 minlook decentcon 1 speaker quality speaker burst 2 camera take blurred photo slight movement subject big irritation people suppose hold breath 3 3 5 mm jackbut overall t find difference plus 5 plus 4 year stop innovate completely,Neutral
buy 12 gb ram model write review phone 15 day dnt think flagship killer treat equivalent mediocre redmi phone hvae buy note 10 pro max sametime family compare dnt feel price oneplus charge justify camera bad saturate image processing make photo look bad note 10 pro max camera stand flagship camera oneplus lag largely 30 k phone camera like 10 k phone criterion excel battery charge 65 w come basic phone 20 k price band 33 w od redmi phone bad game people buy nord 2 personally donot prefer mediatek anytime snapdragon speaker display special look like amole display ordinary phone 3 5 mm jack learn redmi realme fit good way 5 g noise think go phone 3 4 year wait launch 5 g able use 4 g 4 g benefit pay premium feature probably use informed decision,Neutral
don t buy scary device,Negative
nord 2 5 g 1 month feedback happy device battery battery 4500 mah good 65 w charger charge 35 min reduce battery life cycle count initially lot software bug receive 3 update month go netflix hdr support hdr available youtube netflix need add support device list quality perfect volte work fine vi airtel vowifi work vi airtel rear camera superb well major issue 120 hz screen refresh rate miss budget 9 rt,Positive
good oneplus nord 2 edition discount get phone 34999 s worth phone look premium 9 r nord edition good battery pack restrict background activity battery app management 6 7 hour screen time camera day time job time night s good hold phone long time take pic night mode,Positive
month go mention honor 8 x good compare phone software hardware add hardware 1 npu unit unexpected 2 wifi enable voice bad break voice 3 quality good cell 4 g compare honor 8 x far excellent 4 ui customization good compare honor 8 x far excellent 5 customize animation ui screen slide 6 screen fingerprint 360 activate feature unlock angle compare honor 8 x finger touch fast 7 block app network usage background individually 8 photo glary feature like pop menu detail hang 9 vivid color display like actual amole screen type refresh rate day bright direct sunlight 10 camera lag displayit like 35 k phone like 15 k phoneand brand take money quality check expect priceplease stop business india sell product look thisan customer service people know reset phonethat good practice escalate developer technical product review customer far well service,Positive
like plus smartphone m user plus 2 4 year usage recently upgrade plus nord 2 5 g plus 2 leave update plus nord 2 build camera battery value money ultra wide camera quality downside plus improve future update m fan monocrome sensor battery charge speed technology good overall user experience satisfactory device oneplus,Positive
ve phone month finally decide write review proceed read review s know look good aesthetic phone m minimal user main requirement photography smooth performance don t play game perform heavy duty basic reel editing believe perfect phone s package give instagram ready shot night shot supreme rate night photography day basic user like s win camera charmer experience oneplus m disappoint little suspicious amidst blast case ve month don t fear anymore advice basic user like want good aesthetic shot,Positive
happy delivery amazon hopeless battery stay day fast charge get 100 half hour 100 day wit conservative use make wonder show 50 100 believe operation news read day buy phone phone explosion bangalore finally good luck try find screen guard store,Positive
supperb camera quality battery backup avarage 65 w charger recharge mobile blink overall experience premium love recommend phone 30 k,Positive
great phone 30 k consider want value money phone meet expectation feel own oneplus anyday well own iqoo vivo oppo poco oxygen os apparently funtouch os touch trust oxygen os alive reason go device kudo oneplus,Positive
1 camera good 2 biometric face fingerprint fast 3 amole 90 hz display smooth game 4 dual stereo speaker sound come earpiece normal speaker stop bluetooth speaker buy phone 5 65 watt warp charge phone charge 1 100 percent 30 minute 6 oxygen os bloatware choose iphone iphone expensive like notch iphone provide charger box spend money buy charger s charge speed slow oneplus camera well iphone iphone fingerprint sensor iphone support physical dual sim need use esim,Positive
selfie camera disappointing desaturate picture smooth beauty filter sharp real colours main camera good,Neutral
buy long pende replacement initial experience impressed battery last day moderate use camera great quality picture grain zoom charge 15 100 15 min heating issue general heating issue continuous usage great performance app load superfast lag touch response great overall impress silicon case supply phone decent quality s rib structure protect camera screen temper glass preapplie need buy separately good buy sum,Positive
ok amazing product thing don t 120 hz refresh rate minor glitch bug try open bgmi pro gaming mode isn t opening screen flicker issue amazon music battery hell good charging take 30 minute camera mind blow interface take colour os,Neutral
lastly wait phone recharge soon camera real thank lot amazon provide lovely mobile oneplus,Positive
good phone remind megapixel everyte miss macrolen downer phone pretty clean fast bgmi extreme available low graphic heat lot play genshin impact good feature 65 watt charger battery capacity pretty low satisfied thank,Positive
hi friend samsung long time phone samsung impression good 20 day complete m phone experience good main issue accessibility usage difficult not find inbuilt app daily workout like walk step count ect recording warn battery last upto max 12 hrs good charge fast impressive plus warp chrger charger chage take normal time 45 60 min hang 7 nable access function call big issue camera picture quality good zoom function typical use gallery interface bad difficult clicked download pic buy 12 gb 256 gb version 33 k cash overall value money regreat purchase phone thete good option price decide use phone 10 11 month download official app require approval uninstalled quickly plan phone check option like oppo reno 6 pro 5 g samsung 5 g new series,Positive
write review phone 15 day prose 1 camera good quality 4 rating 2 touch screen good work properly face lock finger lock work excellent 3 display nice 5 rating 4 charge superb charge 30 minute 5 rating 5 dual speaker work properly 56 battery life upto mark 3 ratingbig issue bater drain super fastif normal user 1 day life moderate user 2 time require charge day havy gammer youtube require change 2 3 time day recommendation battery capacity need upgrade high capacity,Positive
review month use bug timely update sort heat little charge play high graphic game e pubg codm etc etccamera totally awesome dim sunlight t afford premium phone great option,Positive
