lemmatized,Sentiment
492,highly recommend buy amazonreceived damaged product screen pixel brokena receive phone immediately raise complaint amazon refuse replace return defective item amazon bad policy seller want receive return replacement request oneplus company policy seller amazon oneplus suggest repair oneplus service center fix don t buy phone specially amazon,0
493,point view spec performance phone decent balanced yeah face heating issue soo oneplus watch face camera fail white balanceoverall look phone awesome 50 mp primary shooter,1
494,specification good mess record click record person voice notification record bcoz google dialler bad,0
495,search review phone go personally need allrounder phone reliable function good output 8 day post review rear camera good upgrade low light home condition camera pretty ordinary upgrade 32 megapixel previous nord phone clear sharp selfie video oneplus need upgrade sort issue future software update overall oxygen os merger see color os area like camera battery saver mode ok big concern privacy policy acceptance setting app otp update take place chinese language annoying day today life usage phone excellent network carrier aggregation 90 hz refresh rate feel good big difference battery life excellent game additecte person office app window working app great phone help wfh situation plus shall metal frame instead plastic look ordinary compare low budget phone aluminum metal frame overall phone great price range people worry buy iq 007 phone shall definitely,2
496,mobile get hot temperature high tha difficult stay long battery gets drain fast day suggest rating zero negative,0
497,overall feedback phone satisfy important feature phone impress stereo like sound listen music everyday mid volume hour lock screen 7 hour screen time average usage minor bug software bug 1 double tap lock screen doesn t wake phone 2 phone gets heat significantly capture photo 3 pdf file t open directly pre instal plus file manager 4 photo gallery loop flickering photo occur try upload photo time review,2
498,oneplus nord 2 news phone explode india buy month request oneplus replace model,1
499,camera performance inconsistent battery drain fast heating issue charge happy 65 watt charger give watt charger battery performance increase availability issue buy blue haze color look good display superb charge time,2
500,phone good switch pixel 2 experience clean overall bad recommend normal day day usage gamer believe well option available good bad good main camera okayish ultrawide selfie cam don t use gcam good job selfie cam inste software bug feel like beta version android pixel device annoying hope fix soon issue bluetooth earphone prolonged call jitter call music work absolutely fine take bluetooth sceen keep turn phone touch probably proximity sensor work case didn t like launcher revert microsoft launcher clean good good pixel launcher additional feature battery day lot call 30 40 min gaming 3 4 hr browsing music 30 remain sot 5 hrs call 2 3 hrs use 60 hz screen guess 90 hz charge sufficient,2
501,write review 48 hour usage plus device extensively 48 hour observation good premium feel hand feel like flagship device grey sierra version stunning screen amazing haptic feedback give great experience guess especially true new plus user like bloatware smooth os amazing eye catch design animation rear camera take amazing picture especially amole natural lightning night mode dual speaker provide good sound experience 65 w charger stunning 25 90 18 minute bad camera worthless especially light take vga quality picture kind set battery drain fast phone idle state single sim operation dealbraker update chinese text display screen earphone jacki believe issue solve ota update update review happen,2
502,bad product disappointed dial receive mobile battery drain 50 5 6 hour video time video audio run plus check variant amazon refund money 2,0
503,s near perfect phone use like 90 people use daily basis 90 hz display cherry charge extremely quickly last day use normal usage day day basis camera quality well complain job fairly compare s competitor s well mi 11 x s look,1
504,camera vivo v 21 se good hai charger bahut hi fast hai 30 minute ke ander charge ho jata haibattery bad hai use nhi hone par bhi drain hota hai heavy use karne par din 2 bar charge karna padta hai sab battery ko chhodkar sab thik h,1
505,oneplus mobile confused decision buy finally decision nord 2 go ahead happy decision worth money till date nord 2 receive 4 software update show quality brand resolve issue consistently battery life decent workcharge super fast need second think good inthe segment performance mtk 1200 ai flagship processor mtk butter smooth give flagship experience undoubtedly fingerprint average fast standard bit doesn t detect minor software getting resove updatesoftware good android camera well segment overall great deal perfect product oneplus 2021,2
506,device allrounder tick box like 1 design good premium touch feel attractive 2 camera breath fresh air come good range actual 50 mp main camera average good ultrawide camera video ois oppo feature like bokeh video dual video mode bokeh flare etc 3 performance good time company mediatek chipset fully optimise month 4 battery life good great last complete day day come 65 w charge need half hour 0 100 5 software oxygen os withe twist camera app oppo setting redesign look clean reale ui ish complain force 1 2 feature agree t c privacy policy 6 haptic flagship grade speaker stereo accurate mic provide good output 7 rip headphone jack,2
507,record feature inform party big negative play store ask ask remove app download new one observe generation smart phone free storage 80 gb whatspp clone app work god amazing thing wonder damn phone,1
508,bad product segmentplz guy don t buy s personal experience camera quality upto markbattery performance 7 8 hoursperformance averagebetter nord satisfied performance price think samsung vivo phone 25000 well nord,0
509,heating issue mobile reach 47 c play bgmi heat charge roam carre china live bomb reboot text come china language camera 5 x 10 x zoom image quality poor noisy blur image thing good camera night mode suggest buy plus mobile store online seller darshita electronic provide replacement nord 2 packaging poor box openend deliver,0
510,good phone lot noise camera night mode good market till date hope update camera work good,2
511,impression great worth upgrade 30 k suggest don t 12 gb variant thing check phone 4 g speed carrier aggregation s fast able max speed 70 mbps airtel network previous phone able 40 max camera nice worth 30 k s 90 hz win t find difference battery backup nice get 9 hrs screen time average usage haptic feedback good display awesome,2
512,want phone lag future update phone phone come dimensity 1200 chip come clean os improve performance body nowadays 30 k phone come plastic body look premium phone price range good work plus fan plus phone like,2
513,let know look buy phone gaming phone default run balanced profile new feature implement oneplus nord 2 app medium game run problem like premium heavy gaming need ro enable high performance mode setting plus usually different profile thing people miss increase battery consumption heat phone lot recommend play cod pubg med high fps drop ultra high setting game like genshin impact 60 fps enable fortnite need use performance play deceny high graphic camera probably good price eith good night mode range overprocese hrd update second day tune somewhat hrd good good expect good speaker bloatware etc,2
514,overall decent value money phone post experience month,1
515,pro 1 camera good 2 heptic feedback good 3 heating issue play game like bgmi heating charge 4 charging quick 5 speaker loud clearcon 1 fingerprint scanner disappoint oneplus 6 have hardware fingerprint scanner way fast accurate screen scanner wake screen scanner work 2 lead light charge oneplus 63 sm categorise sms come category oneplus 6 otp transactional sm come user friendly way 4 battery drain fast optimisation require 5 dual app work clone app 6 warn phone restart start update surprising 7 3 5 mm jack 8 provide cover look like average design improvement require 9 plastic body,2
516,good phone budget experience day use design great flagship phone killer good professional phone use pro amazing display smooth stable software insane fast charge capable camera excellent low light photography speaker excellent well hp laptop speaker con battery drain little fast expect hope help bitthank,2
517,bring phone exchange oneplus 6 feel oneplus 6 far well phone got compromise lot feature oneplus 6 s series big issue phone heat problem s feel like hold warm iron brick normal usage recent update heating somewhat reduce camera average battery average charge quickly new oneplus user satisfied phone oneplus fan gets disappoint s miss essence oneplus quality uniqueness,1
518,phone perfect sense plus finally arrive sub flagship version pro 1 camera awesome colour concentration clarity pixel binding bingo ois superb camera awesome night mode disappoint camera 4 5 52 display superb amole display superb 90 hertz 60 hertz diplay awesome dc dim provide s okay display 5 53 sound quality good sound 5 54 battery backup decent 4500 mah day today work battery 5 5 warp charger 65 w superb s box wow wow phone great 29999 worth,2
519,plus 6 2019 enjoy oneplus 6 great intuitive oxygen os impression recently purchase plus nord 2 5 g disappointed fresh oxygen os pretty similar realme os oppo os gui ok plus team don t change os camera well previous generation phone battery life considerably improve,2
520,1 st phone 15 k choose carefully mobile go use 3 year see sign pick right pro gorgeous designexcellent stereo speaker good camera pretty clean ui speedy fast charge minor issue heat like hell charge brick phone ask permission app don t consider abscence headphone jack sd card storage thing s common price segment overall m love regret,2
521,review number 5 display 5 audio quality 4 loudness 5 main camera 5 wide angle cam 3 5 telephoto 2 mp cam 0 camera 4 charge 5 build quality 4 processor 4 price 4 overall 4 5 probably good phone segment,1
522,nord 2 nice feel hand opinion weight pro os good screen quality speaker admirable tad disappointed camera compare old 3 t light capture good low light picture struggle clarity selfie cam good having say camera bad,2
523,upgrade 2 year old phone ll love evey bit regularly upgrade wanna think twice mild heating issue charge warm bit don t use charge win t notice wide angle camera quality average bright light exposure wide angle video bad rest camera good perfect click photo occasionally win t notice charge speed brilliant app permission questionable camera require phone access speaker loud af voice quality proximity sensor good problem screen time 6 8 hrs mild usage headphone jack connector disappointed,2
524,rounded device offer good hardware software experience budget price range come build quality oneplus deliver truly premium experience didn t expect regular oneplus user plus 3 t buy 12 gb 256 gb version till experience smooth butter offer good display quality adequate brightness outdoor usage 90 hz refresh rate think oneplus offer 120 hz price point performance wise haven t see lag till stutter think software bug relate oxygen os 11 quash update come camera aspect ll day m heavy user come mobile photography deliver promise say don t expect iphone pixel level photo experience device take photo smartphone priority well device price bracket market add don t play game phone t comment gaming capability device see performance quality multiple application simultaneously safely nord 2 able handle high profile game easily call audio quality upto mark oneplus bud pro user truly elevate experience connection seamless music experience truly magic overall like faithful oneplus user m nicely surprised elated launch device true root offer flagship experience budget price range,2
525,look amazing speed good charging happen literally 10 min user friendly way lot bug flash light switch automatically switch press lock button plus odd feature ambient display doesn t option change colour predefine alarm keep ring 5 min switch restart phone alot bug hang couple time 3 phone plus disappoint,1
526,confused purchase thing end awesome device 3 rd day highlightsthe main camera amazing especially night mode selfie camera awesome outdoorscharge fastsmooth oxygen os experience gamingbgmi play 1 5 hrs continuouslysetting smooth extreme lag gaming session mobile get warm common con need improvement camera indoor condition provide usb type c 3 5 mm jack converter previously provide,2
527,good mix spec ux little annoyance miss perk sub 30 k phone imo give good combination important feature annoyance ram management bit aggressive app don t remain loaded manually lock app un optimize battery setting menu cluttered cumbersomegood display camera size bit tall like build battery great charge long term effect see,2
528,nice phone get disappointment update phone dual app parallel app support phone glitch flashlight doesn t flash ringtone continuous mode wps app work properly automatically app shutdown read doc request plus team provide stable update,2
529,refresh rate awesome camera fabulous gaming excellent 65 watt charger charge 38 minute display soothe color wow stock android unnecessary app phoneexcellent design hand experience good,2
530,good phone aspect complete package initially confuse oppo reno 6 plus finally stick plus offering well compare oppo reno 6 medium tek 1200 processor lag excellent performancecamera good colour saturate look natural battery performance pretty good charge last 2 day light use 1 day heavy use look good handy easy operate value money,2
531,receive damaged piece,0
532,charge speed level 65 w charger mean 25 30 minute phone fully charge display fingerprint super fast camera quality good feel bit heat charge charger s normal important device run smoothly,2
533,impress negative hen apply eye comfort mode d apply screen like lock screen amera quality feature good like samsung m 51 attery life upto mark thank god fast charging charge phone 30 min e feel chinese thing mobile ittle bit bulkypositiveound quality awesome specially move web series guy ltra fast charging,2
534,good oneplus phone launch 2021 till mid year well plus 9 r average camera nord 2 camera par love plus 7 series good true 5 g phone 5 6 band processor mediatech flagship version phone work great heating issue refresh rate 90 hz balanced choice strain battery instead spend 10 30 k 2021 plus version till aug 2021,2
535,phone great aspect nightmode phone good pretty nice thank primary sensor ultrawide meh samsung s 52 well battery life good fast charging great problem notice phone heat lot specially gaming doesn t affect performance don t feel comfortable game half hour battery heat bit charge make feel bit scary news switch 33 watt redmi charger charge speed good battery doesn t heat slightly wish keep headphone jack conclusion great overall phone basic right great primary camera smooth os yes s coloro integration personally don t mind frankly coloro great os term customisation ur gamer wanna play game high graphic well poco f 3 gt realme x 7 max u don t like miui,2
536,pro build quality premiumsoftware experience color os merger clean bloatware freecamera performance great take good picsbattery efficiency good warp charge good businesscon miss box notification ledhint color os software 3 5 mm jack missingstill overall great package consider available option gaming want sd processor fit rite people,2
537,battery drain fast usually charge time day normal use don t play game,1
538,recive nodr 2 today bellow point mark buy 1 modification require software department 2 bug app need immediate support oneplus team 3 clone aap work e give dual sim dual aap use dual watsaap fb telegram etc 4 camera upto mark rest excellent 5 excellent network reception 6 charge mobile battery 65 watt charger fast farari 7 phone speeker loud 8 watch hd content ott platform buttery smooth 9 hasslefree gaming experience 10 overall 8 10 hope well software updation soon team oneplus,2
539,decade ago flagship later flagship killer cost nord 2 flagship phone 1 lakh plus mid range seeker like hunt sub 40 k look good deal word like get root provide phone good spec affordable price range camera performance strong point phone s camera pretty decent job thing stand stellar battery charge speed 30 minute charge 10,2
540,lot software bug actually make usage phone irritate 1 camera get stuck time especially night mode restart phone 2 make video call phone irritate 5 10 min get hang automatically 3 app getting close automatically 4 camera great hope oneplus get fix soon software update mean expect phone cost 30 k,0
541,work week great phone phone gets restart phone hopelessly irritating buy 1 st day 1 st plus phone go help refund,1
542,model 12 gb ram 256 gb storage camera excellent night mode detail living room image click hardly object room visible wonderful color correction ai image quality amazing color capure extremely close visual scene storage fast read write speed cpu gpu minor glitch play 4 k video youtube gaming performance wonderful fingerprint sensor false positive non register finger similar fingerprint pattern strict matching require face unlock quick heptic wonderful experience haptic feedback screen vivid color wide view angle 90 hz display ok general use arcade game mark pixel density right realistic image experience video enhancement wonderful feature video streaming network datum inbuilt zen mode feature recommend work professional review write 35 day handset usage,2
543,start wouldn t great yes definitely good phone meet requirement camera test battery life improve charge time nice fast charge finger print sensor work good lag notice far 90 hz amole display major difference notice compare 120 hz phone compare screen brightness improve sound quality good overall satisfied device meet requirement expectation,2
544,phone good problem battery life battery drain fast turn hotspot location battery drain speed charging,1
545,vowifi drop frequently switch room house signal drop wifi reciever go blank get 12 256 gb grey look good elegant metal frame good add good people daily gaming 1 2 hour iqoo 7 switch mi poco f 1 ux drastically drop basic app basic example calculator come scientific calc option miui height weight currency etc function scroll compact available pull phone ear camera superb try click mono potrait 2 x zoom u ll amazed good light internet work superfast connect 5 g wifi download speed fast,2
546,bad camera quality bad finger print sensor open s fingerprint battery drain like instal app major issue heating bad experience,0
547,mobile heat 46 48 degree instead eligible replacement return get extremely bad response amazon customer care guy replacement procedure amazon ask perform performance test blancco app test got fail didn t consider ask retest tell t replace return device work fine have bad heating connectivity battery drainage issue refuse return replace,0
548,phone typical oneplus ad fre seamless experience overall good build quality feel 2 week usage thing ve notice phone go horrendously slow try add crack non play store app battery life average great nearly 20 hrs phone life 4 g usage day,2
549,awesome cameraawesome night photospremium phonegood lookingfast heating issueamaze displayno bloatware simple fast elegant ui,2
550,battery good camera great display speaker mind blow issue discover far week screen glitch open amazon music certain line appear screen disappear kind expectate option personalization display phone camera good hope screen glitch fix update,2
551,s get heat sunlight heat 5 10 min plan buy oneplus nord 2 change mind buy mobile,1
552,incident plus nord 2 blast don t buy,1
553,review 2 dayspro 1 good performance smooth ui 2 good rear camera 3 music expectation crystal clear music lover blindly 4 screen good 5 phone body look premium 6 fast charging superb charge 30 mincon 1 battery good drain fast fast charge bare 2 display 120 hz good 3 price high cheap 4 5 k,2
554,genuine review phone useless buy 30 th november major issue home get clear voice call blur coz low network capturing ability previous phone issue network support strong secondly hold phone answer call keep near face get hold loud speaker mute low quality sensor battery major problem charge fast drain fast mode minimal usage charge phone half time day amazon raise complaint b 4 return period till turn inspection inspection date keep getting postpone well avoid plus 3 t plus 7 plus watch face issue product cheap quality,1
555,doesn t distinct feature price check right box love get bright 120 hz screen miss good old headphone jack camera good ultrawide sensor career aggregation 4 g work didn t find bug version oxygen os got solve update final talk feel pay device compare competition,2
556,pro 50 mp camera capture good nice ui hand feel good despite heavy touch awesome batter charge time 25 min 10 100 audio dual speaker bestwifi network strength good con heating issue request replacement wide angle camera poor heating issue majorly camera 90 hz displaycamera upto expectation,2
557,safety issue battery charge phone explode well avoid look alternative phone okay ui good camera hype battery last 1 5 day comfortable normal use game warp charge good scared battery,2
558,fo month pro 1 camera good 2 batter life good 3 charge speed good 4 size build quality good 5 bloatware 6 stereo speaker amazing con 1 fingerprint sensor poor unlock s finger poor 2 display flicker 3 unstable update release try instal available update,2
559,truly year plus return flagship killer title ll baise tell point note beautiful design screen amole s 90 hz 120 yes battery driane fast 90 hz okay excellent ram management 12 gb ram 8 gb free good oxygeno optimise code implement coloro amazing primary camera sony imx 766 sensor truly amazing masterpiece daylight night time photo flagship level ultra wide 16 mp kinda okayish 8 mp lack detail 2 mp useless camera say maintain bokeh honest 3 camera s include satisfied main camera win t need selfie 32 mp sony imx 615 sensor good job day night condition critical condition lighting lack detail dimensity 1200 ai truly mediatek get market antutu score beat flagship snapdragon processor s truly powerfull snappy use lag day day task gaming perfect bgmi max setting 45 fps avg smooth extreme 60 fps excellent job realme x 7 max processor give smooth 90 fps option maybe update bring heating issue whatsoever gaming stuff hour photography temp exceed 45 degree battery efficient rumour battery drain fast like suggest phone drain fast 5000 mah battery one sensor extra feature kind unnecessary thing turn disabled necessary thing enable last day check youtube nord 2 battery save tip trick wrap charge 30 min charge crazy fast audio jack alert slider save dual speaker support hdr 6 5 g band thank oneplus give 2 band side gorilla glass 5 pretty ask,2
560,plus 6 processor beat meditek 1200 easily heat easily small application hot think heavy application burst easily experience replace 2 wice handset disappointment plus,0
561,overall average mobile see flaw keep irritate everytime 1 app crash reason reopen crash clear cache stuff find internet use 2 screecasting bad screen cast mobile unresponsive need switch tv responsive 3 battery warp charge charge 20 min 5 100 discharge quickly like charge quickly good mobile camera good,1
562,pro performance 10 10 fast feel lag gamer battery 10 10 love charge speed magic 25 30 minute battery backup good design 10 10 feel premium build quality good speaker 8 10 crisp clear voice loudness camera 7 10 world experience take good photo good portrait photo low light good camera average attach photo nord 2 moto g 5 s plus 4 year old course nord 2 capture well detail huge improvement consider moto 4 year old take decent photo 13 mp camera ui ui good people cry youtube color os seriously con earphone jack privacy issue permission lot thing privacy internet myth send datum server chinese server camera well complain 30 k people confuse nord 2 vs mi 11 x vs realme x 7 vs poco f 3 gt vs iq 00 7 confuse want phone use 4 year say gamer feel performance difference look future proof phone compare device nord 2 high number 4 g band forget 5 g carrier aggregation good,2
563,oneplus nord 2 overall great phone point problem 1 battery drain overall battery give work hour 2 fast charging work u r thing charge 3 display improve 4 different lag come fix regular basis search phone year lastly buy phone happy phone performance little issue,2
564,brightness low watch streeme content watch video slefi performance poor camera ok fail capture quality pic detail pic heavy battery consume actually ram 8 gb internally 6 gb available ram 2 gb brand plus performance wise purchase plus exceptation heigh get phone overall exceptation go finally mobile good mom dad,1
565,lot review praise phone definitely good feature like camera fast charging negative aspect significant phone hang lot app storage availability hang time video whatsapp keep lag watch video youtube lag problem persist scroll screen icon clear word s frustrating feel like waste money,1
566,receive phone 27 th pretty fast open box check phone wasn t switch write left screen try strt replace surprisingly switch day charge dilevery boy recieve new day thank amazon good service phone 2 day know think write review display good 90 hz super smooth speaker damm good super loud haptic short minimal strong performance notch heating issue notice camera good main camera great low light awesome ultra wide good picture bit smooth selfie good battery good charge yesterday 20 percentage 8 hrs screen time light usage gaming ya gaming heavy usage easily 6 7 hrs charging mind boggle literally charge 55 percent 15 min think want overall package blotfree experience nice camera good performance choice want game well option poco f 3 gt,2
567,video call automatically drop google duo freeze whatsapp app green notification light camera turn time mean camera stop function twice visit service center issue persist ready replace device call service center time money got waste don t devicethis bug checkout video focus object small scree freeze second drop,0
568,start camera purchase cellphone camera quality good ok type want click decent quality picture video section 4 k video good feel like steady video quality mark feature camera explore camera budget 30 k performance game gamer m hardcore gamer usage game 2 hr 1 hr day continuous don t feel lag overheating issue 4 5 hour s day come overall performance say bug personally don t feel cellphone bug go software update feature give phone good mediator usage person good build quality build quality plastic good screen display 90 hrtz ambient display charger interesting thing find charge 0 100 15 minute s super fast battery life 5000 s ok mediate user 4500 overall good cellphone 30 k attach picture video hope ll enjoy hit helpful like review rock,2
569,pro screen connectivity wi fi cellular charge speed look blue gaming performance main camera ois great combine camera overall camera system ok cons battery life little expectedalso news phone explode leave far away sleep,1
570,average battery camera performance oneplus get inconsistent s quality control like smoothness processor doesn t matter carry big charger 2 hour navigation everyday suck juice like battery performance bad s big issue visit service center t device fine slightly disappointed standard oneplus,1
571,phone costly compare market purchase behalf oneplus m disappointed like good camera quality 50 mp like 12 mp camera good battery average main problem heat mobile personally suggest don t buy phone,2
572,cons 1 camera lens right index fingure hold phone 2 os color os oppo 3 button function hard operate 4 phone size big weightpron 1 camera quality good 2 battery life charge fast 3 phone performance goodwhat big draw camera position handset,2
573,get phone day order thank amazon quick deliverynow come phone 1 impression phone good 2 display vibrant good 3 issue fingerprint sensor work expect replacement phone way 4 camera quality good today get replacementthis phone work fine issue fingerprint sensor,2
574,honest review switch oneplus 6 nord 2 5 g camera upto oneplus 6 launch 4 year night mode well primary camera good camera good well plus 6 display colour saturation good oneplus 6 video watch experience good mobile color little dimmer oneplus 6 range mobile battery good overall quality 3 5 performance 4 5,2
575,feel let phone battery life average selfie make look red photo don t look natural super hype average phone don t buy try store buggy phone feel hot feel sad buy,1
576,4 day receive product nd surely recommend u not buy phone bcz s battery drain fast like 100 percent charge doesn t stay 24 hrs complain abt person visit check s app tell battery life healthy jst basis app doesn t tht battery not last 24 hrs spend rs r not get proper phone s use surely buy amazon,2
577,pro 1 camera fab 2 fast charge charge 32 min 3 smooth usage 4 good refresh rate 5 dual video view 6 smooth user experience 7 good sound experiencecon 1 camera average 2 charging drain fast continuous usage 100 0 5 hour,2
578,50 mp main shooter awsome performance good feel premium look powerful charge charge 0 100 30 min touch response amole screen absolutely wonderful bad camera indoor condition not know plus thing phone big disappointment accord plus standard feel 32 mp cam have low performance perfect,2
579,product bad buy want throw money want return 1 week usage start shut automatically continue give service center get 25 day change service center give service center repair buy phone trust ll regret,0
580,use smartphone 8 day impress oneplus good job o nord 2 s look prettyin hand fully load primium ness sterioo speker loud overall flagship killer think use s change little bit worm scare s cool fast fall love oneplus,2
581,maine 3 din use kiya h bahut aache se check krke battery 7 hr aaram se deta h normal user ke liye jo browser video krte h game mai maine dekha ni h mai ni bta skta hu 90 tz chalta h kuch kuch app mai ni chalta h pr pta ni chalega jubtak ki app 90 tz phle se use ni kiye ho display mst h pichle saal jo oneplus nord ka display mai problem tha red green tint wala will sb kuch ni h nord 2 mai sb aacha kr diya h camera mai aacha h pr camara realme jaisa h kuch kass ni h heating issue jo vi koi bolta h pta ni mujhe pr pta ni chala bs video recording maine 20 min ke aass paass kiya tho thora sa heat hua tha baki jisko oneplus lene ka mn h will yhi phone le yhi will phone h jo lene layak h bst,0
582,till time phone camera good phone camera processor fast find lag play cod check vedio render speed update display quality nice early oneplus 6 t well display audio quality awesome charge 65 watt magical hardly take 40 minute charge 0 100 camera 4 5 battery 3 5 5 charge speed 5 5 audio 5 5 display 4 5 processor 4 5 overall 4 5 5,2
583,review phone month dilemma buy moto edge 20 end decide nord 2 review help confused buyer point time camera awesome oxygen color os smooth haptic amazing size phone perfect concise mind blow away 65 warp charger justifie 4500 mah battery provide issue face guy isn t gaming phone repeat isn t gaming phone atleast play mlbb 20 min game device start heat go upto 39 40 degree touch unresponsive game hang s wasn t case prev phone note 8 pro power mediatek processor normal use want purchase guy amazing gaming wouldn t suggest phone review tell u gaming issue,2
584,oneplus make fool s day day yes wana purchase sure definitely feel didn t right choice becoz parameter bad experience like camera bad bad like redmi hang feel sad bad phone oneplus,0
585,1 good thing product s camera camera switch 7 t phone camera certainly upgrade 2 fingerprint sensor amazing 3 fot product super awesome worth 30 k d 2 d usage 4 battery life amazing normal usage work day worry back 65 w charger 40 15 min guy,2
586,review 2 day usage order plus phone 30 th july get 1 st august 2021 thank amazon quick safe delivery cover include box charger touch smooth camera good camera ok battery charge quickly battery backup day play game plug headset,2
587,iphone 6 s 2021 s outdated look change d go oneplus nord 2 5 g think let s try android way iphone give feel speed phone give 3 ghz speed awesome jz start like phone battery backup awesome feed iphone battery relaxing 30 min charge s pretty awesome guy,2
588,fingerprint reader normally work normal speed face read unlocked system great expect thank plus know plus atlis build 5500 mah battery long life plus lite weight s good range phone main camera sensor outstanding working word describe fair quality ultra wide camera selfie camera think update camera update,2
589,update s night mode hang auto exit camera average hang night mode need phone restart app auto exit heating countineus use battery life average group selfie mode available charging excellent gaming good dual camera recording awesome,2
590,overall good phone camera need improvement color snap saturate future update improve camera performance issue mobile datum network wifi reception speed,2
591,drop phone height approximately 3 foot shatter glass wornder kind protetive glass company claim look leagal official way claim officially verify,1
592,phone good nice camera fast charger don t find heating issue lag like crash app limited usage phone high end game issue connectivity phone look premium feel cost 25 k phone feature 20 25 k exclude 5 g year 5 g t comment overall phone good price compare range phone,2
593,excited get oneplus phone click amazing picture turn oneplus nord 2 actually oppo phone packaging oneplus camera seriously huge disappointment currently mi 3 phone cost 12 k well camera totally disappoint stupid gimmic play oneplus sell oppo phone atall ethical,2
594,zaruri nahi sab ka phon kharab nikle mera toh shi hai baki game wagera khailne wale roo rahe normal use k lye shi battery chal jati hai thik thak par charge bhy jaldi ho jata hai jo camera k lye bol rahe un se anurodh hai phon ki jagh camera lo,1
595,product plus nord 2 decent past 3 month m device major pro 1 quality 2 dual speaker 3 camera 4 clean ui interface 5 regular software update 6 battery life decent 7 look premium hand 8 alert slider let s con 1 camera mark mi note 5 pro give well selfie experience 2 3 5 mm head phone jack 3 bug relate software hope resolve update 4 initially boot phone feel warmth near camera portion eventually got settle verdict s good device far oneplus nord series feel happy provide earphone box especially price range justify flagship get huge competition release product,2
596,s sub standard phone compare previous plus phone experience software smooth heating issue happy phone display good sound ok type good battery decent camera average rear camera good daylight night ui good phone responsive want brand value phone expect oneplus,2
597,nord 2 battery 4500 mah half day drain people face phone blasting issue happy plus 6 mobile issue decision switch 3 half year old new plus phone worth sell nord 2 buy iphone 12 amazon diwali offer,2
598,pro notch quality phone 1 hardware software experience unavailable normal 90 hz refresh rate get 9 h 21 min screen time consminor heating issue heavy mean heavy heavy problem,0
599,phone lag 3 4 day light use m instal game phone phone hang,0
600,pross 1 bright lead display 2 handy 3 66 wat wrap charge 4 finger print accurate fast 5 descent camera 6 processor good fast dimensity 1200 ai 7 phone quality awesome 8 stereo speaker goodcon 1 3 5 mm jack 2 earphone box 3 quality case provide oneplus mark 4 selfie camera mark,2
601,order sale rs 31 841 receive faulty device day request replacement wait day having pay money phone replacement initiate amazon follow day finally get refund terrible experience,0
602,recent communication oneplus nord series receive major os update expect phone major update 2 3 year mind price point bit high suppose major os update anyways plus start give discount 3 4 month 1 speaker sound quality 5 star 2 battery charge 5 star 3 battery discharge 3 star 4 screen quality 4 star 5 quality 5 starmissing 1 notification lead 2 3 5 mm jack win t miss wireless earbud 3 expect temper glass oneplus,1
603,bug phone facebook application getting automatically close use camera good camera ok recording policy bad change oneplus team record message deliver phone caller battery backup good good thing battery get charge 25 30 min haven t play game t share gaming experience,2
604,good phone till date phone samsung m 51 good upgrade perfect fit hand dimensity 1200 ai soc beast feel buttery smooth 3 day get update yesterday camera good class feel premium hand good phone plus,2
605,oneplus nord 2 good camera design camera quality camera excite everytime dynamic range good direct sun light s worl like night mode s give usable picture main 50 mp camera stunning performance battery battery performance good tell bad 4500 ah good max 8 hrs backup excellent charge mind blow 35 min s charge disappointed mild heat near camera day later 1 week use s good heat 4 k video recording quality s look sharp phone 4 k monitor overall perfect oneplus mobile well camera design,2
606,phon hang call screen go black screen able cut heating little well choose relame phone vivo plus nord lose touch ui m sure plus phone hype phone gud price segment,0
607,overall phone awesome past week issue term software lag game fingerprint sensor superfast con camera photo look bit saturate camera issue adjust light apart find issue,1
608,review 10 day usage look phone 30 k option consider apart realme x 7 max iqoo 7 having device 10 day continuously review network reception well phone realme 2 pro 5 g support 6 band brand realme give camera sony imx 766 sensor surprised good night mode screen super amole brightness green tint issuesprocessor dimensity 1200 sd 870 price point dimensity 1200 sd 870 perform nearly day day usage haptic superb charge 65 w charger superfast 29 min 0 100 switch 5 min 22 battery 4500 mah usually give 7 8 hrs sot 30 40 min gaming easily last day normal usage ui m love ui far clean smooth experience ram management super recent app kill use overall verdict look rounder good camera performance clean ui op brand value definitely purchase device disappoint,2
609,positive positive super smooth ui experience far camera well expect get premium flagship experience half cost camera way way well oneplus nord handle heavy gaming screen look good phone didn t hang far 8 gb ram variant don t trust negative review don t people complain similarity colosos os great serve good experience user don t worry oppofication frankly s redundant irrelevant thing worry overall look wise look like premium oneplus 9 series fraction cost win look way well oneplus nord negative mention title camera great slightly grainy ve well department didn t high expectation begin s fine phone heat initial set use continuously carry heavy task heat expect deal breaker lot phone market price range issue m satisfied purchase recommendation ve buy phone day launch market m glad flagship killer deserve go stock way soon high demand,2
610,order oneplus 12 gb 256 gb varient 28 th july receive 48 hour 3 hour usage review follow oneplus 6 t 3 year purchase phone exact review explain week use phone good don t think pro beautiful camera rare 9 10 well display quality look 8 5 10 professor fast smooth,2
