,review
223,"  This mobile has got excellent battery backup it's a beast.The display is also best 👍.The camera is ok-ok quality i.e Average quality as if u zoom a little the pixel decreases.The face regonization is very bad it doesn't work at all, you have to move ur face to 1-2 cm distance from Phone than only it works.No complain regarding fingerprint, it's works smoothly 😌.The sound through the speakers are quality sounds 👌.Overall except the face regonization this mobile is perfect👍.I gifted this mobile to my maa and she is happy with it 😊. Mobile at cost of  only ₹9999 is perfect for me 👌.
"
224,"  I have used this for a week now.So here is the detailed reviewPros1. Good battery life3. Fast processing4. Nice sound5. Good fingerprint  scannersCons :1. Average display(video quality sucks)2. Big on hand3. Screen is very soft it will break in a 2-3 fall4.Average camera.Go for m21 2021 edition for better camera.M12 quad can camera is if no use
"
225,"  Good Phone in this price segment and overall decent performance but camera is not really good as samsung showcase its true 48 megapixel ,even front camera quality not so good.Battery wise thumbs up!Charging time about 2- 2:30 hrs. 0-100, it will give you 1 day battery backup even after heavy usage.Dual 4G volte with dual standby.Screen quality preety good.It an heavy phone.For business purpose I recommend this phone.Overall 8/10.
"
226,"                    The media could not be loaded.
"
227,"                
"
228,"   Dear Amazon Customer service,Am Shailendra an Prime member of Amazon.I purchased an Samsung Mobile phone M12 from Amazon portal.but received an faulty phone,where unable to hear voice in calls.requested Amazon to replace.they called me and undergoes an test of Mobile,finds the fault and ordered replacement on 9th of this month.Till none of technician/ delivery/ pickup agent cane to me to replace.Am herewith attaching screenshot for your reference.Requesting Amazon Technical/ customer service team to sort out my issue at earliest.
"
229,"  The honest review could have been 2.5* considering, performance & camera quality, yet I'm giving it 5* because : when i was about to buy this phone i was on a budget and this was the best option for me, a 6/128 model of a top brand at 13500RS was a good deal and my top priority always was battery back and this amused me with its battery back up. If you are looking for a phone with strong battery back up with limited budget? Go for it... Otherwise you'll disappointed.
"
230,"  For my use case, a single charge lasts me around 6 days (charge 100% to 40%, after which I recharge again). Actually it should last me more than 10 days I think, if I allow it to drop to 1% before recharging. My use case is: office related video calls, email, WhatsApp, online shopping, connecting to chrome cast and watching YouTube videos on tv, sms, phone calls, reading kindle books, etc. Screen ON time, about an hour or so a day depending on video call duration. I do not play games on my phone. I keep it on battery saving mode, and 60hz screen refresh.Been using the phone for more than a month now. Very satisfied with the performance. Only slight issue was the slightly heavier weight of the phone compared to my previous phone. But I have gotten used to it and it does not bother me at all now.Regarding the screen being non fullHD, I thought it would be something I would notice. Nope, I feel no difference when reading books on kindle. Maybe teenagers with better eyesight will notice, but I definitely cannot.In summary, I’m very happy with the purchase. I just hope Samsung keeps pushing the updates till at least android 13, and security updates for at least 4 years. That would be perfect.
"
231,"                    The media could not be loaded.
"
232,"                
"
233,"   Phone is good at this price. Battery life is long. It will lasts upto 2 days if you are doing simple tasks on it.Processor is good.But one thing here is to mention that, if you are looking for good camera quality phone this is not it. Its front camera is not good. Picture quality ruining when you zoom in. So Overall good phone 🖖 except camera 📷
"
234,"  First of the phone was a worth purchaseand best budget promise by samsung.For a normal user epecially for middle aged one's and new android experiencing one's it is a better choise, why because of the branded non chinese mobile.Perfomance :1.Camera quality : primary camera is best and give awesome clicks but not impressed in secondary, but i repeat its a budget based handset by samsung..2.Finger print reader: take a few seconds some times, but in a wide range it is fast.3.Battery life : its awesome no word to say...And fast charging 15wA negative portion is weight, its weight is about 221 gm it's heavier i noted this here because, samsung introduced m21 model with more specifications and perfomance carrying the same monster typical battery 6000 mah but weighing only around188gm is very lite weight and easy to handle (remember the prize difference).Overall my conclusion is the product is worth for money. I am completely satisfied, why because i had that much money....So no over expectations, thank you samsung.And especially thankyou Amazon for best service again.
"
235,"  I bought this phone to last 5years(thus OPPO or Vivo was not an option).........my first phone was Samsung metro.......now it's Samsung galaxy m12..........user interface is good.......the phone barely looses any charge when idle or used via wired earphones..........satisfied till now
"
236,"  Giving 3 stars because1 - It only have got 2.4 ghz wifi card, 5 ghz wifi will not work on this. So if you have modern day fiber internet wifi, chances are it won't probably be compatible with this device.2 - It says 48MP camara but it is not the best camara regarding the specs. I don't understand why it got 4 camaras when other 3 are barley average in terms of quality.If you can have few extra thousands, then go with m30s series.I understand Samsung has to do stuff to do cost cutting and marketing, I also own a m31, that one is better. Also random apps will download from samsung app store until you dont force stop samsung app store.
"
237,"  Good battery back up.Sound and picture could have been better at this price.Unable to make credit card payments through this phone, states version should be above 18.3.My prior phone was doing it bought 4 years ago.Within weeks timePhone at this cost hasLow camera qualityHanging issues unfortunateTechnician checked and advised for replacement. Agreed with issues.Don't see options to return, please stay away folks.
"
238,"  I have faced at least 2 bugs while using this phone in whatsapp,1. after capturing image send button was not available on the screen2. I was not able to send messages to anyone while my other apps were working fine which uses internet connectionsamsung and whatsapp developer please look into thiscamera quality is average or near to poor
"
239,"  Beyond expectations, an affordable phone in this budget with great features loaded. This phone has the latest android 11 with a great camera, very good battery life, Exynos processor, IPS display with 90Hz, and is well built. This phone is easy to use for gaming and has a lot of memory to store all your media files and documents. Timely delivered and thanks to Amazon for such fast delivery.
"
240,"  heavyweight mobile. camera not good. only brand name none other than.  other brand like infinix, Asus are too good to use.  good looking but not so special. dont go for famous brands. please use and welcome new brands and functions. if you are really know how to use mobiles then use under 15 k rupees. dont waste a lot of money on costly mobiles.
"
241,"  I just bought a brick!The phone is too heavy as brickSlow as snail.Camera quality is worstInterface seems oldPrice : avg.Amazon return policy won't allow you to return that is biggest disadvantage.I insist potential buyers to avoid going for such tempting offers on this device n go for MI /Realme for way better features n feel in this price segment.
"
242,"  What benefit we will get if I have 6gb or 8gb ram. How come this mobile will not provide dual band wifi, means I am getting low Internet speed with that single band wifi feature. Very much disappointed with this big drawback. Even lower price mobiles are giving this feature but not m12. Samsung smartly avoided by not mentioning this in the product description.
"
243,"  Seems like Im using 10 years back mobile. Its super heavy. Resolution is no good and I have eye pain. Camera is very bad. Yes they have given 6000 mah battery but it takes more than 2 hours to charge fully. And battery does not work like a 6k mah battery.Does not expect this from Samsung as they have huge market nowadays compare to Apple worldwide.
"
244,"  The phone is great. Good display and UI. Comes with 6000 maH huge battery. Charging is quick but 1 thing that comes as negative is the camera. The camera doesn't seem like 48 MP. It struggles in low light & the Front camera also suffers the same problem. You can certainly go for it if you are OK with below standard camera. Amazon delivery was excellent
"
245,"                    The media could not be loaded.
"
246,"                
"
247,"   It is best at this cost from a brand like samsung. Display resolution is HD but it's 90 Hz. Battery life is awesome lasts 2 days. Camera is disappointing though. There isn't any gcam available yet. No silicon case in box. One UI is the best UI I have ever used yet. Fast updates. 15 Watt charger included takes almost 2 hrs for full charge which lasts for almost 2 days
"
248,"  As far as my opinion is concerned, the over all features are Ok. The drawback features are:1. M12 is out of Super Amolrd Screen.2. Back Fingerprint is more covenient than side3. Camera quality is not so hifi than other models4. S Bike mode should given, which will be helpful ehile driving..5. Charger model is different  than other M series Mobiles with battery of 6000 mah.
"
249,"  Purchased in June.What I like-Battery power. I charge it only once in 2 days. Being a medium-to- heavy user  it's a big thumbs up.- Storage capacity- Navigation speed- Not made in ChinaWhat I dislike- It's quite heavy!- Eyes hurt within 3 hours. It never happened with any of the phones I have  used so far (more than 10 phones ) . Some of them were really cheap too. I  don't know why this phone makes the eyes hurt. I am not a particular fan of  Eye Comfort Shield feature so this is a big minus point for me.- Camera here truly is just an accessory. Well, anyway, I didn't buy this phone  for cameras, my expectations were already low but the quality of pics are  even lower than what I expected.- Screen resolution.If you have other phones and want a budget secondary phone not made in China this one is good enough. I was sceptical about the performance of an Exynos processor , never used one before, but it seems alright so far.
"
250,"  I baught this phone but after 2-3days use i fill like its Display having some flickering issue then I Raised a Complaint. Then a Technician visited my phone and told me everything is fine. Them after 4-5 days later I again Feel Like Choppy And lagging problm and The Flickering issue. Then I called customer service they told me its out of replacement Policy. But when I insisted them they agreed to replace It. Now I am satisfied With the phone.Phone is smooth ( Just go in developer options and Set the animation scale to 0.5x Them Everything will be smooth)Battery is Monstar (6000MAH)Display have TFT panel But Samsung is Alasy winner in display department.Te display shows Deep Black not as Samoled panel but Better then (MI,Realme,oppo,vivo)Phone is Heavy but manageable.Cameras Are Decent enough For te Price range.I bought it for 8550/-I am happy 😊 with the device now.Now lets see What happen.I am writing the review After 15 days.Please check tw device Before buying.Thank You.
"
251,"  Got this phone @7749 after Exchange & bank discount at this rate no branded mobile may not come with Android 11..., so far is good still needs to check in all respects but all basic functions are working fine.
"
252,"  ProsExcellent Display for the price even if it is LCD (Samsung Expertise)Face ID with Fingerprint sensorOne UI is nice, smooth and feels modernUSB-C chargerLong Battery LifeConsPhone weights too high (more than 200 g)Samsung bloatwares are present and makes continued attemps to trick you for installation.Camera is fairly average, should have been little improved.No fast charging supportOverall good budget buy if you are looking for non Chinese budget smartphone.
"
253,"  I expected a lot about samsung mobiles in this price segment, but after buying it I totally regret myself.. But as a reviewer, I would like to post the pros and cons that I observed in this mobile..Pros:-1. Long Battery Life.2. Advanced features which are only available in Samsung ecosystem (like ""do not disturb while in driving"" etc.,)3. Can fastly unlock the phone using Fingerprint scanner.Cons:-1. Total Weight of Mobile.2. Camera quality is not seems like a 48MP Cam.3. Display quality is also not good.4. Face unlock is just an useless feature in this mobile.5. Last but not least, the worst thing is the processor. A walking turtle would be better than the performance speed of this processor..If anybody like to buy a mobile in this price range, just go with either Redmi or Realme.. Those brands will really satisfy you a lot (I were a Redmi user and I fully satisfied with the features, that's why I recommended this brand). 👍
"
254,"  I liked the phone battery last long even I tool 6GB ram version but the phone is little sluggish in performance may be the chipset is not great in performing daily task. But one UI is great even 120 he refresh rate I found phone performance not upto my expectations while comparing to my old redmi phone but I liked that unnecessary apps are not getting installed like redmi. Camera is great and battery life is awesome.
"
255,"  (Review it after using for a month)It's battery backup is quite impressive, camera is good but could be more simpler interface, I am not a gaming person but as per my Experience it's working smooth, but yes sometimes for a sec you will it might be slow but overall it's a worth Price product as of now.
"
256,"  It was very happy when I received it that I haven't spent money on China mobile but within 10 day I started regretting as it has started to hang very frequently and that's annoying. I haven't added extra memory card and using phone with only one SIM. Return policy was 7 days and it started hanging from 9th day :(
"
257,"  Such an awesome phone ruined by a biggest lack of a most important and basic feature, GREAT battery life, camera, UI, lives up to its reputation;Great specs all round, only thing to be vary of is that it DOES NOT SUPPORT 5GHz band wifi “5G wifi”When you buy a phone with such great specs, it’s a real shame that the only thing slowing it down is a lack of fast internet speeds due to hardware limitation. Not having support for 5GHz in 2021 is 🤮🤮
"
258,"  For this price - Nothing great to be expected.It's a low end phone. So everything about this phone is below average - except battery.Bad ambient light sensor, decent camera, decent amount output, cheap charging cables - bad quality.Excellent battery!Expensive phones - outstanding performanceCheap phones - you get what you pay for
"
259,"  Bought it for my mother, its a good phone with monster battery backupPros:Battery 6000 mahAndroid 1190 hertz display8 nm processorRear camera 48mp sony imx sensorDisplayCall quality4 years ota update supportNo lag issueCons:Speaker is not great it gest louder but too shrillProtection cover not included in the box8MP average front cameraPs its a good phone best phone to gift your loved ones
"
260,"  Positive point :-1) battery life is massive 🤟2) fingerprint reader is so fast3) best in this price segment4) non scratch poly Carbonated back5)latest Android6) real 48 pixel camera7) Samsung Knox security which is best ever safety from malware virus.Negative point1)if you like camera phone, don't go for it bcoz it doesn't click selfies like oppo,vivo,etc. 😂. It gives real pixel picture.2)a bit heavy phone.Overall this phone is awesome in this segment apart from selfies and heavy weight.Go for it if you need Massive battery back up , a real 48 MP camera.
"
261,"  Overall phone is ok. I have 6GB and 128 GB variant.Some advantages are there.1. In this Price getting good phone.2. Till now no heat or not hang.3. Till now Battery backup is good.4.  Video quality is also good.5. Good processor.Some drawback is there.1. Data cable is so small.2.  When charging no notification light is showing. When charge is full you have to check manually.3. Camera is not to the up yo mark like true 48MP.4. No notification light is there for missed call or anything.5. No Return policy is there.
"
262,"  I am using this phone from past 3 months and I never played any heavy games in this phone. I use it to attend calls and social media, watching videos,  listening music and for clicking pictures.I'm using Vodafone and jio Sim & I'm facing issue with Vodafone signal, whenever I'll get call it use to disconnect in-between.Camera performance is not bad, but I'm not happy with battery performance.  It has a 6000mAh battery but I have to charge my phone everyday it consume lot of battery.And phone is little heavy you have to buy additional cover and screen protector.Only charger and type c cable is available along
"
263,"  Damage product reshived hua hai or koi help nahi ki ja rahi haiअमेजॉन से प्रोडक्ट मंगाया था यह अभी तक 20 का कोई सर्विस नहीं हुआ है कोई नहीं पिकअप भी नहीं आर्डर पेंडिंग में और जो अमाउंट थी वह भी कट गया है 20 दिन हो चुके हैं पूरे
"
264,"  I am writing this review after using the device for 10 days.It is very good mobile in this price range. The battery life is awesome, lasts for 3 days once full charged with normal usage. The speed is also good, works well for daily usage. The camera is not the best does not feel like 48 MP. The 6.5"" display is very impressive. Gives amazing video and audio quality.Overall I liked this one and highly recommend to buy it.
"
265,"  I have been using Samsung M21, also my 2 family members using same model.So thought to buy this M12 for my father.1. Biggest disappointment DisplayLooks like a old age mobile2. Camera is ok ok3. Only good thing is battery 🔋.4. Cheap plastic body5. Heavyweight6. Go for Samsung M21 it's more better.
"
266,"  Camera quality is very poor and display quality too. This model is not listed in the exchange models list also. How funny that Amazon sold a mobile and they aren't considering the same model for exchange what kind of business ethics is this where as the same model is listed on Flipakrt for exchange models.
"
267,"  - My contact book is not too large, around 700 contacts, yet it takes a couple of seconds to load it. It didn't happen in my previous mobiles even though they were less powerful than this device.- Although it has 4 cameras at the back, the portrait mode is completely nonsense. My previous phone had only 2 cameras on back yet it's portrait mode was a thousand times better.- Fingerprint sensor is on the power button and a real pain to use when you have a mobile cover.
"
268,"  I am writing this review after the usage of 25 days. It is one of the worst phones Samsung has made with multiple issues.  charging speed is very much disappointed , taking lot of time to charge up. The main issue I am facing is that the phone battery  is slow charging and quick battery draining.. Phone heats up while charging as well as in normal usage conditions. While charging the phone heats up to an extent that one may feel that it could blast. 😡😡
"
269,"  Decent phone at 9,000 (after bank offers). The processor and display are not upto the standard. But given that this phone has knox security, I have little to complain about. This phone is strictly for old people who just needs a secure phone for day to day usage like messaging, calling, etc. Not recommended for any user who wants to do a lot of multitasking or gaming.
"
270,"  I buy this phone on Diwali offer for Rs9500 on 30 Oct 2021.For this price the phone is worthy enough..Now it been nearly 20days of usage..Pros..1.Best Battery life even in heavy usage it hold for a day its amazing...2.Rear Camera Shows the real face and color tone without additional filters in that way I love it..3.Display more than enough..90Hz Awesome4.Fastest FingerPrint Reader in this segmentCons...1.Front Camera not too bad as well as not good too..average for selfie lovers..but for me I like this one...Note it Mainly👇👇2.Processor or something make the phone lag...lag in popup the keyboard itself is not good....if it is a bug need fix immediately..3.Asking Updates for all the apps... may be it because of the phone launch day it was March 2021..I'm a Samsung fan So for me it is a better option for this rate..if you love Samsung buy it without the second thought...Apart all of the above the best phone for daily moderate users...OK for heavy usage(For Hours)...
"
271,"  I bought this for my mother. I ll just list what I don't like.1. Too heavy. Don't buy this for old people2. Camera is shaky and output is not great. I don't know why they have given four cameras.3. Too much of useless Samsung apps and galaxy items interrupting in between. I cannot able to disable these.
"
272,"  Samsung is cheating people with marketing big numbers for a product. All the specifications are just on paper.In reality, every specification is just sub-par.Camera quality is same as what you see in phones that released in 2012-2013, like Galaxy Grand 2.Battery is advertised as 6000mAh, but in actual, it gives the same result as a 3000mAh battery.Processor is just utter crap.Seeing a phone for the first where the initial setup itself lags like anything.Display quality feels same as resistive touch era phones.Screen shows bleeding symptoms.I wish they had a return policy instead of replacement.
"
273,"  This hand phone is perfect for those who want it for day to day use with decent gaming experience also security wise it is good one, actually before purchasing this phone i had watched so many videos in YouTube and amzon, After using it for some days I think it is very good for an average person but if you want to compare this phone with some other devices i think that you should avoid to buy this mobile phone also, if you have been using some high end devices for some times then also you should think before purchasing this phone. In my personal opinion i think this is very good phone with excellent camera and battery life, also performance wise it is good for day to day use. Itne kam daam mai Samsung ka bharosa aur NonChinese device wo bhi made in India. So go for it I'm sure this phone will not disappoint you.
"
274,"  Device is Heavy.Camera Quality is very poor.Screen Quality is very poor compare to othwr device in market.Fast charging is OkBattery backup is also Ok.I would recommend try other device in the same segment Like Redmi, Mi, Poco.
"
275,"  I had a lot of doubts before purchase on seeing the negative reviews lying here and there but my experience with the Samsung m12 was really exciting. It has good battery backup, the display, even though 720p is not bad to look at, screen brightness is optimum. RAM management is good for day to day apps. Haven't found any lags.  Haven't tried playing any games on it. The battery last for 2 days on normal usage and 1 day on heavy usage and takes about 3hrs to fully charge.  Over all it is a great phone. The true monster. Update: After using it for nearly 6 months I'm facing proximity sensor issue, which I found is common in midrange samsung devices because of which I'm planning to change the phone and never am I going for another Samsung device. There are minor stutters here and there even while using light apps like YouTube. The battery life is still awesome.
"
276,"  Hey so this is an honest review from my side. I thought Samsung phone would be great for my dad but it isn't so great. The battery life isn't good. Once the battery goes below 50% it drains really fast. Talking about camera quality, it isn't as good as expected. The pictures look grainy.. finger print reader doesn't accepts your finger sometimes, and if you put a cover on your phone then its even harder to use the finger print reader. This phone has good features but ya if I talk about the price it was good for 11k but not perfect!
"
277,"  Pros:Great Battery Life. Upto 2 days minimum.Great Camera.Superior smoothness in usability4GB RAM for multitasking.Built and feel of the phone.I use the phone primarily for clicking product photos for my website, and business calls. On a personal level, a powerful battery and camera saves me time and gives me a hassle free experience.  I use all sorts of video and image editing apps that requires a lot of ram usage and the phone has never crashed so far. Also does well for gaming. Hard core gaming may be sluggish. But for the price perspective, this phone is all you ever need.Cons:Face Detection  for unlocking — takes atleast 3 seconds to react. The fingerprint sensor is comparatively faster. But both is a little annoying at times.
"
278,"  Please do not buy this phone because Samsung Galaxy M12 phone generating too much heat with this I can not operate the phone in normal condition. I kept the order in return and the authorized technician came and he decided, the is phone working normal but the compliant was too much heat generates when it's in the handset, in this case, how I could not take calls and operate the mobile. there is no return policy and only replacement but that also not happened. I was very much disappointed with amazon's service and I lost 13499/- and my requirement not fulfilled.
"
279,"  Very heavy phone. Peculiar problem of Samsung phone always in hung state .if you want to use in outdoor in day time you can't see anything bon screen.  For screen shot you need to put an extra floating menu on screen which is very irritating. No compass app you can run on phone as it lacks the sensors. Friends don't buy it, Chinese phones are far far better than this. I also purchased it just to avoid Chinese phone and now I repaint it. Since sep 21 I am using it and this is worst phone I have ever had.
"
280,"  New year and Christmas day special status quotes wishes<a href=""https://www.best-status.com/2017/10/best-10-happy-new-year-2018-gif-image.html""> Happy New year Gif image </a><a href=""https://www.best-status.com/2017/12/happy-christmas-merry-christmas-status-wishes-for-whatsapp.html"">Happy Christmas status wishes for WhatsApp</a><a href=""https://www.best-status.com/2017/10/happy-christmas-day-hindi-status.html"">Happy Christmas day Hindi status </a><a href=""https://www.best-status.com/2017/11/happy-christmas-status-and-merry.html"">happy Christmas status Gif image picture </a><a href=""https://www.best-status.com/2017/12/happy-new-year-and-merry-christmas.html"">Happy new year and merry Christmas status</a><a href=""https://www.best-status.com/2017/12/romantic-new-year-2018-statusmassage.html"">Romantic new year status massage </a><a href=""https://www.best-status.com/2017/12/happy-new-year-2018-gifs-animated-image.html""> happy new year Gif image picture animated </a><a href=""https://www.best-status.com/2017/12/happy-new-year-2018-romantic-love-image.html""> happy new year romantic love status</a><a href=""https://www.best-status.com/2017/10/happy-new-year-2018-shayari-in-hindi.html"">happy new year shayari in Hindi </a><a href=""https://www.best-status.com/2017/12/happy-christmas-day-2017-3d-gifs.html"">happy Christmas Day 3d gifs </a><a href=""https://www.best-status.com/2017/10/best-merry-christmas-status-quotes.html""> merry Christmas status quotes </a><a href=""https://www.best-status.com/2017/10/merry-christmas-status-happy-christmas-status-quotes-best-merry-christmas-status-saying.html"">merry Christmas status quotes saying </a><a href=""https://www.best-status.com/2017/12/top-15-happy-christmas-day-gifs.html"">top 15 happy Christmas day Gif images </a><a href=""https://www.best-status.com/2021/11/happy-new-year-2022-gif-animated-image.html"">happy new year 2022 Gif image picture </a>
"
281,"  1-Camera Quality too poor back & Front both2- battery life is too short 8 hours3- unable to take screenshots4-phone hang while typing5- for PUBG lover Don't Buy not working in properly6- Display Quality is so ugly while playing game 🎯🎮7- mobile heating while charging & using tym both8- It's taking 3-4 hours for charging
"
282,"  While Samsung boasts about the 48MP camera, the picture quality is not up to the mark. I was looking for a smartphone for my mother with a price range of 9-11 k and was confused between Resmi 9 series and Samsung M12. I finally decided to go for samsung since it has a good resale value. The battery life is just amazing, since my mom uses the phone for basic functions like calls, watching videos on youtube and social media, the battery lasts easily for 3 days on a full charge
"
283,"  Not up to the mark too many cons1)phone ram management is not good it hangs too much 90hz screen is only for show whenever u set screen at 90hz its start hamging2) VGA camera is better than this 48megapixal camera3)when i start mobile and setup it hang and restart more than 2 time so i will suggest  dongo for this phone
"
284,"  Fingerprint reader ,battery life and camera are 👍good as compare to others within this budget. My decision was very clear before purchasing that I would buy only phone within ₹13000 so I purchased and in my opinion  if ones budget is same then go ahead don't thing and read negative  review
"
285,"  The fingerprint reader is placed at an ideal location and works without fail. The battery life is really good even though it takes a long time to charge so in all good. camera quality of the primary camera is good for everyday use. The design of the phone is such that it does not wobble and there are no protruding camera. The built quality feels solid. No fingerprint smudges.I have experienced some jitters but nothing to complain about. Calling over WiFi facility works very good and the earpiece quality is decent. No issues with proximity sensor. Though it lacks the bells and whistles of its competitors, it does well. There is nothing extraordinary to write about, but it is actually good as there are nothing extremely negative to write about. Buy it and it will work as its supposed to. Also trusting on Samsung brand name for data privacy.
"
286,"  Great budget smartphone from Samsung.Got a bit worried after reading all the negative reviews about the phone's display and camera but they didn't fail me or Samsung. Great battery life and display looks awesome. Camera is normal; neither extremely extraordinary nor disappointing. Overall camera is satisfactory at this price. RAM and Processor give very smooth performance. Don't get worry about the bullshit negative reviews (by people who want gold at the price of brass).  Go for it.
"
287,"  I have gone through many reviews for this phone. But, I've not seen anyone talking about sound quality. Maybe their handsets are working absolutely fine.. Maybe my particular handset is troublesome. Anyways, since I got the phone on my hand, I couldn't explore as much as I should but overall my experience with Samsung is not up to the mark. I purchased Samsung's phone hoping to get some amazing performance which the company and other reviewers (mainly YouTube reviewers) claim.I am not that technically sound person to digest every single term the phone companies (manufacturers) use these days. Still, I've gathered a little bit of knowledge and experience after using various smartphones over the long 11-12 years.I got this model (Galaxy M12) exchanged with Redmi 8A Dual which was not that much worse.. The sound was pretty loud be it media sound, ringtones, call sound, etc.Frankly speaking, I've not checked gaming, camera and other features the way I did with sound quality. I'd recommend experience yourself before you buy this phone if at all possible.
"
288,"  Good phone for the price. The responsiveness of the screen to touch is a little wanting. Battery not as good as expected, lasts for about a day and a half with moderate usage.  Camera is great but it's a pain to select and toggle through the settings. Really have to look hard to realise it is a high resolution image. My other purchase is an M12 which feels really premium compared to this phone. The price difference at time of purchase was only 2k.
"
289,"  Firstly amazon cc is very inefficient in handling my queries, series of wrong communication from chat support, phone support. My email is not yet answered since 8 days. Now, samsung m12 phone - out of 64gb only 50-52gb is available and remaining 12-13gb occupied by system. Out of 4gb ram 1.8gb approx is occupied by system. Camera quality is very very poor. Phone hangs too much like if i unlock the phone it takes more than 10-15 sec to display clock, navigation icons, notifications panel etc. Phone heats up if we use gdrive, maps, hotspot. Screen and body is very delicate. Plz think much before you go for this. An upset frustrated Amazon cusromer, Sameer!
"
290,"  Its a budgeted phone. 6 GB/ 128 GB storage variant is good. Battery backup is awesome. Took 3-3.5 hrs to full charge. Not happy with front camera quality & Awful at night. NO slow motion capturing feature. Rear camera is better in daylight & good at night. Not happy with side touch sensor. Took so many attempts sometimes to unlock. But, overall I am happy using it because navigation sensor, battery backup & performance of phone is good compared with other brands.
"
291,"  Great product for the money. Thankfully it's not Chinese and there's peace of mind when using banking apps or other apps which warrants security of non Chinese servers. The camera to screen everything is as good it can get for the money and software is way above what the Chinese offers.
"
292,"  After use of one month i can say,Excellent battery life, sound quality is good, Its not easy to handle due to its heavyness but it can be bcos of 6000mah battery. Fingerprint sensor is good. Camera quality is not good as expected from 48 mega pixels. Front camera is not good at all. But overall experience till now is very Good. Want to give 5star but one star less due to its camera and Handling.
"
293,"  Samsung camera is supposed to be far better than Lyf Wind, regretably it is on par. You could sell this lower end of the product range for may be 7000 or max 7500. Beats many local brands yet not satisfactory. Giving a 4 starFeed back: Sold my old Wind Lyf phone for Rs 1350 to a small dealer. Rs 450 exchange value is not fair at all.
"
294,"  like you I have searched the reviews for this mobile..just keep this two things in your mind while you choose to buy this mobile.1. If you are a low range mobile user and u trying to buy high range mobile then this is the perfect mobile with exotic features and to perfect price like 10500.2. If you are a high range user mobile price of above 15000 then this will be little low campares to that m12 but m12 gives it own best Performances.You can't  compare this mobile 10500rps  to the mobiles above 15000 because  if you put plus money then it comes with  more features  that's the difference..so you must compare the features with price tags then scroll to the reviews  for performance of the mobile  like you and me! Conclusion:-  Review is only for this mobile so...this kind a features with this price is absolutely  worth it. Performance  was damn good of every features and last Final finger print sensor is a exotic feature in this mobile the it works is like DAMN GIRL!Thank you.
"
295,"  I have just picked it up in budget category for day to day needs, well I'm not disappointed with my choice it's a great package to offer at this price point keeping my needs in mind.However the phone is very sluggish in response, if you're looking for performance from this phone kindly stay away it will disappoint you.Hope my review helps prospective buyers.
"
296,"  After using since 5 days......1. 90Hz display really smooth2. Camera quality little better if you select 48M camera setting . Not really good one for photography.3.battery backup is too good, as I am not a gamer4. Too heavy to carry ...After using with back cover it feels almost 500 GM to me5. Voice clarity is really good.6. 4G speed is awesome.7. Overaally it's a nice phone ......
"
297,"  Bought this phone a week ago.Budget Phone for people who need a good smart phone at lower rate with good battery backup of 6000mah.Phone is not very heavy, screen is bigger which is good for watching movies/videos.Negative: keypad is not showing fully when using upi mobile app.Otherwise phone is good.Will write more reviews after using it for some more time
"
298,"  This product is fantastic for this price! I tested the Battery life and for a heavy user, it can easily last you and day or a day and a half. And for a light user, it can last you 2 - 3 days! Also, the cameras are decent, the front camera is ok in low light or in some cases indoor lighting, but the front camera is pretty good! I have seen phones with these exact same features for double the price! The screen is respectable it's not pixely, but it's not the best ofc. The screen is pretty smooth, its 90hz is really nice and smooth. Gaming on this phone is ok. I mean like I told you the battery can last you a long time, and the same thing applies to gaming now ofc the battery will run out faster but not significantly faster. Playing the actual game its self is decent only the VERY high-powered games is a bit laggy on this phone but most of the games work smoothly. I would give this phone a 4 star just because the front camera could have been better.
"
299,"  1) Look and feel of the mobile is good but little heavier due to 6000 mAH battery.2) Camera quality is good but slow - takes more time to save the picture.3) Fingerprint reader is good.4) Overall performance is slower.5) Battery support - 2 days under normal use.
"
300,"  It got deliver on 14th April. After using few days I find my moto phone was better in features. I am not able to take screenshot using power button + vol down button. It always show Power off + restart + emergency.Motion and guestures features are limited compare to moto. No option for 3 finger touch screen shot or palm slide screenshot. Rest is ok. Not much imprressed.
"
301,"  I ordered it on 2nd of may and got it on 5th of may. I am pretty much with which which the phone comes. This phone has really exceeded a lot of expectations regarding the features that its loaded with. But the only thing with which  I am disappointed with is its size🤔, its quiet ""fat""😅to say. But really.... I am astonished with its battery backup. It's a huge for phones in this price range. It comes with 6000mah battery which I felt, a #monster precisely😳. The camera....OMG!!!!!its just too good. It comes with 84mp quad camera . It has a 10x zoom, which is super clear. The fingerprint reader is mounted on the side,down the volume button. It's too awesome. It  senses the print, even on a thin plastic sheet is placed on it. Other than all this , to say, it a great budget friendly and a must buy on the other hand. It should be in one's list , if he/she is looking for the #monster in 10k bracket💯👍🏻👍🏻👍🏻👍🏻👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼
"
302,"  1. To begin with battery life is pretty good, however it takes little longer to fully charge the phone.2. Front came is pathetic. Rear camera is some how ok for basic usage.3. Fingerprint will work whenever it wants to (not everytime you need it) so remember phone pinlock to be on a safer side.4. Phone got hanged twice within 15 days of normal usage.5. Overall this is a phone for elderly person or for someone who is low to minimal user on a daily basis.
"
