,review
117,"  Read the Complete Review for better understanding.I bought this phone for my father (moderate level usage). Majority of his consumption is Whatsapp, Online banking, UPI, and Emails (No Games or Videos/Movies at all). He has been using this phone for 3 months now.Pros:1. Good Display (8/10)2. Battery is fine (6/10) Bcoz the phone is not used for gaming or watching videos, the battery lasts for 2 days easily3. Fingerprint Sensor works fine (6/10) Hit and Miss, Sometimes works and Sometimes doesn't.4. Audio is great (8/10)Cons:1. Bad Camera (3/10) Both, The Rear and the Selfie cameras are very low res. Other than just basic photo taking, You can't do anything.2. 4gb Ram is a lie- After you start using the device you won't believe it has 4gb ram, the phone is very slow. If you'll open more than 3 apps, the phone will start to hang and i am not talking gaming, just simple appsFinal Verdict- In the Description, it may look like you are getting good specs at this price but it is not the same in hand. Forget long term usage, You will be fed up of this after max. 1 year.Advice: Put in some extra thousands and buy a better phone
"
118,"                    The media could not be loaded.
"
119,"                
"
120,"   First worst experience with amazon while purchasing mobile. There is a small creamish spot inside the screen, could be manufacturing defect or could be the result of improper handling. Even after replacement I got a defective piece again with screen tint issue on the left side of the camera. Video posted. Dropped Amazon and went to Flipkart now.
"
121,"                    The media could not be loaded.
"
122,"                
"
123,"   The camera quality is absolutely worse. Me and my family members have been using redmi mobiles and all of mobiles have a great camera quality. This was the reason and trust I ordered one more redmi mobile for my younger brother but I'm surprised with the camera quality. it's very bad and guys don't buy this mobile if you're looking for a good camera in the mobile. There are other mobiles available in redmi and other company which is more worthy. I'll attach some pictures so that you guys can aware of this before buying.
"
124,"  At this price range if you want to buy a mobile for your online class and for your children then I will recommend this product. If you want to buy this mobile for other purposes then I will recommend to don't buy it.And don't go to the youtube review . Really it too different after I buy I knew very well.So it is your choice what you di.
"
125,"  I bought it for my mother, and she is learning to use it. 4GB/64GB at this price is really good. Touch is very responsive and quick. Screen quality is little dull and sound output is low compared to other Redmi phones. Redmi needs to work on these for budget phones. Camera is average as it is not camera centered phone. Network reception and battery power is good, last for 1.5 days with normal usage. Overall good phone for beginners and elderly people to start with
"
126,"  Display better for this price but if you can spend a 1000 rupees more go for Redmi 9 Prime which has better FHD display and good processor than this.  Function is good especially for online classes and also the size of display is good for online classes. Games mild okay.  Camera is really bad in even very light conditions.  Good only in bright places and close-up shots. Overall 3.5 out of 5.
"
127,"  To start of with mobile has medicore camera with a quality of mobiles in 2010s. Even with 4gb ram it hangs a lot which will definitely frustrate you a lot. Battery backup is poor and the charger isn't type C. It takes around 4hours to charge fully.PS: I bought this phone for my dad and he only takes call and uses WhatsApp. To my surprise he himself wasn't happy with this mobile due to its poor performance and the screen which is LCD which cannot play HD videos. Colours in video isn't punchy and can make look a red colour a orange colour.I have asked Amazon and they have replaced with a new unit and the customer care representative is completely supportive. Can't blame them for the products efficiency.
"
128,"  It's been three days now. My readmi 9 phone is performing well. I like the blue shade back cover, the camera picture quality is good, much better than my previous phone. Battery lasts for a day after full charge. I watch a lot of videos on Instagram and youtube and I make a lot of calls. Battery lasts for one day with all this usage. Finger is my favourite. I can unlock the phone with a simple touch.
"
129,"  Redmi 9... Other than MIUI 12.0.5, 4GBRAM &64GB this phone is very ordinary. The CAMERA is worst compared to older phones frm XIAOMI..NO LED LIGHT FOR NOTIFICATIONS...overall nothing impressive in this phone.. Quite disappointed.ADDING one PROS abt the phone:Sound quality is good.Battery life good.
"
130,"                    The media could not be loaded.
"
131,"                
"
132,"   Overheating within 15-20 mins of usage.Screen flickering on auto brightness. Also flickering if brightness is kept below 50%.One of the worst phones I've used till date.
"
133,"  Camera is good & the battery backup is strong & at this cost that is amazing phone
"
134,"  I am using this since phone since a week, completely a good experience and and camera got its best potential, best display, battery, and speakers, value  for money. #redmi9 best mobile , overall best mobile.
"
135,"  Absolutely not happy with this phone because it's not even 2 months buying I am facing issues like there is no gyroscope no high resolutions and now I am connected with a Bluetooth headphones there is no sound and there is no sound in wired headphones so if Xiaomi people are reading this comment then jaake apni maa chudao and others also pls read this hope this helps you and this happens after the update came
"
136,"  I bought this product based on my past experience with Redmi note 5 which was really Good. This time I got disappointed after purchasing this product. Everything was going fine for the first 3-4 days but all of sudden my phone get starting auto restart at the interval of less than a minutes. I am not able to use my phone from yesterday since it is auto restart as soon as I unlock it. Not satisfied with this product at all.
"
137,"  I bet a Redmi series of phone doesn't need reviews. It's always the best for budget. Only pros is lagging after a while due to more bug fix updates and usage of more apps. Otherwise Redmi rockzzz
"
138,"  I like this phone.But, I have trouble with the automatic settings regarding battery saving. If the mobile screen is off, whatsapp gets offline. But I need it always online as I am using whatsapp web on my computer always irrespective of whether I use my mobile or not.If the system shows that whatsapp is using battery that simply means that it is in use. So, the basic idea should be to continue to provide what is in use rather than to stop it. After all, I bought it to use and not to waste my time in going through all the available settings in the system.
"
139,"  After using for few days this are the pros and cons i will mentionPROS1) 5000 mAh Battery.2) Performance for Normal usage is Impressive.3) Supports 20W fast charging.4) Perfect phone for people looking for  Budgeted phone.5) Good for playing low resolution games.CONS1) The Rear Camera is not so good.2) The Front Camera as well is not good.3) Design of this phone is Just Ok, not so well  plastic body Comes with 10W slow charger,  although supports 20W Fast charging.4) Not good for high resolution gaming as it has  outdated processor.
"
140,"  I am using this mobile on 6th marchFrom starting date to till now mbl will be overheating and sometimes hanging and another thing is sometimes touch will not workingThat's why I return this productI need refund but your claint will told I will give you the replacement.This time also same product will happen amazon people will make a refundAnd one more thing is camera quality also not goodDon't dissapoint with my feedback because this problem is happend.
"
141,"  Very good features for a budget phone. Acceptable performance and for its huge battery surprisingly is light weight. Full day usage sees only 50% of battery left. Screen resolution is so smooth. Highly recommended.
"
142,"  Excellent phone for price below 9k. Exchanged my old phone so got it for even lower price. Bought it for mom and perfect for her use.Pros:1. Large screen2. Good sound3. Blue colour looks good4. Does daily tasks like calling, youtube, gpay with ease5. Good battery6. Overall good experience7. Speaker is loud tooCons:1. Very average camera. Daylight condition is fine. In night, camera quality can suffer.Overall still good phone and worth buying. If camera is specifically needed then try something else.
"
143,"  i like the camera it is good ,the screen is also good but i feel that the bezels are somewhat big but the overall form factor is good but the only thing that i am not sure with is the processor as it is a mediatek processor but it works fine it would have been nice if they have given fast charging option  but for the price it is well rounded so if you are looking for a good phone under 10k go for it
"
144,"                    The media could not be loaded.
"
145,"                
"
146,"   Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing🇩 🇪 🇸 🇮 🇬 🇳Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.🇩 🇮 🇸 🇵 🇱 🇦 🇾The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.🅱🅰🆃🆃🅴🆁🆈The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?🅲🅰🅼🅴🆁🅰There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps
"
147,"  Genuine product.Loved this phone... actually bought for my mom on her birthday she loved it.. 💙Made in India and has no ban apps pre-installed that's impressive.Overall worth buying. Totally budget phone with good configuration.Ordered on last night got the delivery early morning 8am that was so fast very impressive.
"
148,"  Very bad experience with this phone1)Camera below avg2)Charger Not working within 2months of purchase of mobile. and also there customer service center not replace tha charger they just make any excuse to not provide you warranty replacement of products3) when you playing game and getting calls most of the time hang or screen get blackout4) Most of the time Dual sim network not work properly. When someone calling you thay said outoff network or switch off. while phone is still on5) i really feel bad to choose this mobile. I generally don't write review but after this kinds of experience i just thought to write a review to help someone to not choose this mobile
"
149,"  You CANT connect to 5Ghz wifi! Their website info is misleading. It's not dual band! I am now stuck with 2 mobiles with hardly any speed to access net while I have a blazing Airtel Internet connection at home!The whole phone is sluggish.Battery is very good!Camera also is kool.But overall a worst choice for extensive users of wifi! That's it.
"
150,"  Battery life is all fine ...If you aren't a heavy gamer u can rely on ur fully charged phone for the whole day longFingerprint reader is very appropriate , untill you get your fingers wetCamera quality is quite average ...But you get the slow motion mode for videos which is quite finePerformance is slightly above average ...You can play 7 to 8 hours of gameBut the heating problem exists...And I personally hate it ...I don't know why they aren't working on it ..You could burn your body hairs with the heated back surface of the phone .Display is okay ...You won't complainOver-all at this budget range this is probably just best phone ...Go for it without a thought if your budget is tight ...You won't get something better
"
151,"  After 15days of use, it starts hung up, I have used Redmi earlier also but this is worst, I have bought it on exchange, is this new handset or renewed set, I don't know but after 15days of use and only 23gb using out of 128gb, it hang up. Very slow response of screen. My old mobile Redmi 4 was  far better then this which I have exchanged. Redmi india what shall I do. 03/11/21- i have updated miui, now seems ok,  no hanging issue
"
152,"  The overall performance of the phone is very good but the camera is not very much when compared to other phones pixel rate is I don't know it's not good also. the alarm option alarm  it is not at all making any sound. When you set an alarm it is very hard to hear the alarm sound
"
153,"  I got this phone in deal in Amazon shopping festival hence was able to encash the opportunity to buy it. What could be better at budget range with 6 gb of memory and 64 gb of storage space. Camera is good but not for people who love to click selfies and more. Best deal for my uncle and he was happy with phone. What could be best to make some one smile. Thank you Amazon
"
154,"  A simple smartphone. Don't get too much hyped for the features being provided in this budget.Its a normal smartphone with regular qualities.Pros-1. Large Screen size2. Loud Speaker3. Battery LifeCons-1. Lags from the first unpacking in setting up the phone.2. Not a user-friendly interface. A first user will face a lot of difficulties while using.3. Camera doesn't justifies the quality and mps.4. Fingerprint scanner can be stubborn.
"
155,"  For simple usage of calls, watsap and video calls, the phone is very good but not made for extensive use like playing heavy gamesThe camera quality is not so much good but it's satisfactory.All other features are good. Overall it's a nice phone
"
156,"  Does not feel like a phone released in sept 2021. Features and phone is exactly like redmi phones 2 years ago....nothing special except better more ram and storage in the price range.No earphones provided and the FM radio still requires headphone as antenna.Battery us 5000mA but it still last 24hrs only. 2years ago 3000mA also lasted 24hrs so bigger battery no big deal.
"
157,"  specifications are ok but poor cameraboth cameras are not so gooddisplay brightness is low in dat lightperformance is ok
"
158,"  Mobile looks bit okay, not too good. But yes redmi will overtake other brands in this price range, that's why redmi rockzzzz. But camera is very poor, if you are a selfie & photo crazy person I won't recommend this. For a normal person who needs battery & other benefits this is better mobile.Pros : Stylish look  User friendly  Battery stand upCons : Poor Camera  Bit bulky in hand  Bit overweight.Overall in 10 K this mobile I rate 6/10. Much better than other mobiles. kinda okay👌.
"
159,"  Worst product.When we are in conference call getting lot of disturbance. When i filed a complaint.one of the home technician called me and telling me that with out checking the mobile and with out coming to the home. He made a call directly and asking what is the problem and i have explained it. He told ok sir if customer care calls to you tell i have came to the home, with out visiting my house he is telling like that. And he told iam keeping order for new mobile in place of old. But when I contacted CS team they hva etold me there no new order placed on your number. And i was shocked. And technician wrote report as all is good. Now what i have to do?
"
160,"  Awsome smartphone. The display is good, facelock,fingerprint, are good. Has lots of features in one and functions very fast and well. Another thing camera is also good but not so much as of Samsung. Most important in this budget you are getting 4GB Ram and 64GB storage that is the best. Lots of important pre installed apps/wallpapers. Good display. Battery not found so good. You can buy it freely if you are not a heavy phone addictor. Will have good result.
"
161,"  I buy this mobile on but there is hitting chargger an mobile both .so I call Amazon customer service there is one executive he told me some software check an update but I don't try because of I buy new phone then why should I try ............that's time executive speak his supiror an told me pls pack this mobile I arrange new pack pic return.Thanks to Amazon return my mobile an give me another mobile within 3 working day's I m very happy my mobile I recieved an check all is working properly.Once again thank executive I forgot that's name but thanks a lots ........I m sure next time any product buy I m going on Amazon ..........
"
162,"  Too much pre installed apps that never can be uninstalled,so taking many spaces,,,its front and back camera low quality, charging cable is not C type,its the pin type old usb cable, overall I am giving 3* as per my experience,also notable that colour of mobile what i ordered 80 % different
"
163,"  It's a cool phone with an awesome look with good battery life and an average camera. Thought it would be heavy and difficult to handle... But once I held it in my hand it was very lightweight and slim.. overall great phone to buy in such an amazing price!
"
164,"  I am writing this review after a month use.1. Camera is difficult to operate as in case of point & shoot the image captured is not clear. Even low priced old phones score better on this count.2. While searching names, most of the time the names do not show in drop down menu/method, which is irritating.3.The Mi music player do not operate as no songs feature  in it.Even on searching the playlist show as empty. Till now i am unable to play it.4.Battery life is just OK5.Overall I am unsatisfied from this phone, I had a big reputation about Redmi phones ,but this Redmi 9 is, failure. Redmi 8 is better, which also I am using, although it is older verdion.
"
165,"  I feel AMAZON shopping a very happy and experience about my buy new MI redmi mobile at low weight,speed processor low price,more futures have. Totally satisfied a mobile use. Battery back up status is well and expected.my family is lucky at this mobile buying.once thanks to AMAZON great job.
"
166,"  The phone is working fine but not having IR device to operate as TV control as I am doing for earlier amazon redmi3 & Y or Redmi 8 note phones. Else performance wise phone is good.The body of the phone is definitely not like note phones but sounds good.
"
167,"  Very Good phone at these price range.  In 64 Gb Its already system used 12 Gb.  Camera quality poor, Its saying 13 Mega pixel,  I don't think so, it maybe 5 Mega pixel.  Once I cancel my prime membership,  delivery was delay.  Thanks Amazon. Now redmi coming made in india sticker
"
168,"  I bought this phone for my daughter and she's happy to get it. She got online classes and she's happy to get a nice phone. She's not able to control her excitement as she didn't expect the good phone, she also play games on it and it's as per the needs.
"
169,"  In, terms of speed ,memory and ease of use, it's good. Battery and fingerprint reading are excellent. But when, it comes to the speaker output with, certain, well known apps such as zoom, it's not good. Also the recorded voice does not have a reasonably good volume when played back.
"
170,"  Phone is good in segment, i love the display its very clear and detailing.Battery back up is super, goor performance, built quality finishing etc are excellent, on the part of camera iam very disappointed cz redmi need to improve the clarity of camera considering the other company in this segment. Just ok thats all about camera. Otherwise its a nice pack and value for money
"
171,"  Best phone to buy at this rate.My ratingsFront Camera 7/10Rear Camera 8/10Fingerprint 10/10Display 9/10 (-1 for low 1080p resolution)Design 10/10Facelock 10/10 (also detect in dark)Size 10/10Weight 9/10 (195gm not easy to handle)
"
172,"  Bought this phone for my parents. They don't play games nor spend hours on social media, the battery life for the elders is awesome. For their usage (mostly watching youtube, whatsapp, zoom calls, MS teams, and other common applications) this has been a good gadget. With 126GB internal memory, this phone is not going to indicate memory low even if they receive 100s of social media forwards and voice notes. The mobile came with unwanted apps, which I deleted while setting up. Very happy with the clarity of text and the font size. Apps don't appear to be cluttered and notifications are displayed clearly. Overall happy with this mobile.
"
173,"  I use dis cell for calling, txtin, 8ball pool. Cell is awesome. Smooth ui. Wat amazon really amazed me was tat the manufacturing date was 10/2020.i ordered 16 of Oct. Phone is perfect. I Don game n take pics. Dis is a grt budget mob. Ty amazon. (for the  grt xchange offer) RAGHAV HAPPY 😁🎉
"
174,"  They don't provide screen guard, cover and IR sensorCamera quality is also not upto markAlso don't provide type C data cable for charging and data transferRest all good till now
"
175,"  If you need a phone under 10K with decent features then this is the phone ..
"
176,"  I am going to write review about my redmi 9 phone, i bought this phone 2nd time. I truly satisfied with its price range  for like this featurestic phone.Battery is working whole day for my need.Phone 's body is rough and tough.Camera is actually averaged not super.Fingerprint is works smoothly.And last, screen of the phone is working as like as other redmi phones.Phone never hang.It's speed is also better.
"
177,"  Why do these mobile companies launch different model with same names? To lure someone into buying inferior product with superior name? The Redmi 9 available in India has far less features than the Redmi 9 available outside. Its a different model itself.I paid ₹1000 more for this. No Compass, poor display and camera and battery life is far less than my previous Moto phone with 5000 mAh battery. I should have enquired more. The compass was the main reason I went for this model. Now all festival offers are gone.
"
178,"  I have been using Redmi phones for 4 years now. Used multiple phones & found this one with worst camera. Had used Redmi 4 before, it was just 8 MP camera but takes very beautiful photos. But this one is very disappointed for the price. Other than camera, everything else is goodIf you are not interested in Camera, you can go for it
"
179,"  OsmAmazing experienceAll in oneMind blowing phoneSpecial thanks to mr manu jainCo-founder miLot of thanks
"
180,"  Bought this phone for my father.... He has minimal usage and he doesn't need more multi tasking. He is content with big screen, triple camera and sound quality.So people who need performance shouldn't consider this phone... Better go for Snapdragon processor.The camera quality is average... What else you can get at this price range.. The sound quality is amazing... It's loud and clear.The fingerprint reader is aso amazing....it's fast and responsive.The battery life is also good considering average usage...Works for one and half day.
"
181,"  if u want best features search another model instead if buy Redmi 9Activ.Here is my rating after 1month uses.👉Ram Good👉Storage Good👉Camera Average👉FingerPrint Good👉Disply Touch Average👉Battery Backup Good
"
182,"  I always used to feel that spending more than 10k on a mobile is waste for people who uses his mobile  for a small period of time, iam the person who uses his phone hardly for 2 hrs a day, I used it for 4 days in a single charge I felt very great.
"
183,"  Whatsup call and connectivity  Camera.Third class Phone  Connectivity very poor . Whatsup call not possible . Earlier Vivo Y 10 was incredible . Wasted money  Feeling sorry . This was a gift to my mother to have whatsup calls .After seeing so much Hype from Redmi I was carried away on this . I would have gone to Vivo . Redmi should improve the connectivity to get good response
"
184,"  I have purchased couple of phones of Redmi, but This is the worst phone I have ever got, unfortunately didn't look it's functionality earlier otherwise I would have returned it on same day.Don't pay attention to paid review or the people who never used the good phones.If possible please do get some better phone instead of this.
"
185,"  Ok is goodI give a presentation to my wifeI know very well for the six months for 8 month mobile will work 100% good after it will know what is a problem coming this is my experience in my life this is the seventh mobile I buy in my lifetimeAnyway thanks for the teamworkI hope all teamwork people with good health without coronavirus god bless everyone
"
186,"  Beware.. Don't just look at the cost.This mobile does not have gyroscope sensor. So you cannot view VR (virtual reality) Google VR app is not compatinle with this mobile.Also there is no infrared so you cannot use the MI remote to operate TV, SET TOPBOX Or Your AC.
"
187,"  I was worried by seeing the negative reviews. But then I purchased it and now I am happy. It's a good mobile. Overall it's performance is upto the level as per the price. Some people are expecting it to run as high priced phones having lots of more features. It's overall good.
"
188,"  1 month review. Easy to use phone even for elderly after shifting from Samsung smartphone. Camera is sharper than Redmi 6 and focuses better too. Battery lasts for 3+ days with minimal internet usage. Sound quality is good.
"
189,"  Worst phone.....camera quality is like VGA camera both front and rear camera. Voice during call is not audible even speakers are not good.Really total waste of money. I would never recommend this phone to anyone. If anyone is about to buy this phone then  please do some research from your side before purchasing this phone because it's performace specially in camera quality next call sound is far far below average.Please do not 🚫 buy this phone.A big NO for this phone.
"
190,"  Worst👎 mobile phone📱 of Xaiomi I had ever seen. First bad experience with Xaiomi. Just on second day of unboxing phone getting hang. Battery🔋 back up is worst even after 5000 mAh, back up is not enough for one day. I think this is duplicate mobile phone of Xaiomi. I want to replace with Redmi 9 prime.
"
191,"  I usually buy phones directly from the Xiomi store.Never ever had any UI or app not loading issue with my older devices with just 3GB of RAM.Have recently purchased this phone on Amazon. It doesn't feel like using 4GB for the same usage.  When the UI will be stuck you don't know. Having worst experience. Not sure of the root cause.
"
192,"  Am writing this review after 6days of purchase, really this phone is not at all worth the money we give, especially the camera clarity it's just like a basic keypayd mobile like camera, I had redmi 8a with me which was 100% better than this mobile which I exchanged for this mobile. The battery life is also not so good.. Overall just a smartphone for those who never take photos and less usage... Pls think before buying.
"
193,"  At first, my dad was happy with the phone with all the basic smartphone features until the Network issues started.The Wifi Calling doesn't work even though it's working from my other Samsung phone over same Wifi and Mobile Operator.When Wifi-calling was switched off, calls went through but Without ANY Rings. This is clearly a product fault.Not even 2 days, I have put Screen Protector, will you send me New screen protector too with phone replacement?
"
194,"  Not from hardcore gaming - but play you can play pubg/bgmi only if u r fan, all thing as mentioned,dual camera but quality is not that much goodaverage gaming performanceoverall buy this if your for daily use and movies multimedia becz of big screenlook is awesome and for light gaming 1-2 hours
"
195,"  Hi order this phone via amazon by exchange offer,  I tried the same with flipkart but  they rejected the phone  which was working fine.  Thanks amazon for accepting the old phone.A big thumbs-up to amazon
"
196,"  It is just okay type of phone, camera and sound quality is not good, any old 5k phone will give you better picture. Bettery life is good.
"
197,"  It is very bad please don't buy it. When I oder this I got a used product . It have no modern functions.Split screen is also removed. camera is very Bad . I suggest you if your budget is 8,000 to 9,000 you should buy Redmi 8a dual with 8mp camera which is better than this.And if budget is 9,999 you should buy Redmi 9 prime. Overall it's depends on you.
"
198,"  Redmi 9 is a phone which is quite justified seeing it's price. It has an amazing battery. The storage is more than enough at this price but somehow the camera quality lacks in places that somehow makes you wonder or regret of only I could have gone for Redmi 9 Prime. Anyways. It's a great phone to use. It comes with a 10W charger which takes time but for me it's a plus point cause for my previous phones, I didn't get a charger.
"
199,"  Best budget mobile under 9000/-Better to go with Redmi 9 Prime
"
200,"  Camera quality not great compared to Oppo.... I don't recommend buying this phone. It gets heated up too soon and sometimes screen gets frozen or keeps flickering...
"
201,"  Obviously, Good Battery is a plus. If someone markets this phone for Fast finger reader is Nonsense.  Can't you afford a few milliseconds extra.The manufacturer has taken granted your phone for posting Ads as they wish at your cost.  This is ridiculous.If you are looking for your own phone, this is not a good choice.
"
202,"  The fingerprint sensor, and the battery power are good features of this phone. Picture quality with the different cameras are just okay. The phone is working smoothly even with additional installation of other apps.
"
203,"  Phone has auto restart problem it's been 20 days and in 1 hour it almost restart 38 times and it appears after ur return replacement date over..... Disappontted plus the brightness is very very low.... Quality is not as expected
"
204,"  This phone delivered on 4th November 2020 with in 1 month (1st December) it got complained. From the beginning itself charging was too slow and phone getting heat also,but I didn't mind that only because this was common for redmi phones . But On Dec 4th when it had 70 above percentage charge suddenly it got switched off, then I tried to switch on but didn't  works so, I tried charge the phone then that's not worked. At-last I charged by other phone charger and got charged. After the use of 10 minute I noticed that charge was getting reduced.
"
205,"  Mobile is okay but Camera is a crap, no headset and no back cover with this mobile also this is not a fast charging mobileRest all is fine runs smoothly.
"
206,"  I wish I had seen the reviews before purchasing this phone. The front camera is so horrible that I'm wondering if their so called specification of ai enabled selfie camera is even true. Would not recommend this phone to anyone. So disappointed
"
207,"  Works good. Smooth. But if you have all the social media apps then it may lag a bit. Dont try heavy games. Battery is concerning when all these social apps are in the phone. Camera is ok. Finger print reader is fast
"
208,"  It's been 4 months I have been using this phone... Camera quality bad n the phone is getting hanged many times... After long time a got phone which is not worth it.. The touch pad is not good as well... Plz don't go fr it... Even if u have any emergency try some other one not this one
"
209,"  Not good phone. Some time found error in all apps and data connection lost automatically after reset defult work properly..WIFI CONNECTIVITY IS SO POOR.I have also vivo y81 phone above 3 year old  and purchase a redmi 9 but when i connect my vivo ph with my TV work properly.and when i connect my phone REDMI 9 WITH MY TV some time cant connect and if connect succesfully after 1 min movie not show fluently..DONT PURCHASE REDMI 9.I FEEL BETTER WITH MY OLD VIVO Y81 BETTER THEN REDMI 9.
"
210,"  By buying this product i am very happy ist battery life is more than 20hour and it never warm i play 2 hour continued game but it is not warm it is more batter than other products in this range
"
211,"  I have upgraded from redmi 5 to this, in design compared to redmi 5 this is not that good. Bettery is good, big dispaly but not bright as redmi 5, performance is ok. Cameras are ok for the price range. Good for online classes for my kid, but not a worthy upgrade to redmi 5.
"
212,"  after buy redmi 9 I was not satisfied with quality and functioning of product I complain to replacement, company replaced it, this handset also defective and due to facing dengue in my family members so I was not used the handset and go to hospital for treatment. after which date was closed for return and refund status this product performance is very bad we have seen two product of same model both are not run properly and its models are defective if possible please help to us to change / refund .
"
213,"  Worst quality phone. Fall from 3ft hight only and screen broken. I think no Garilla glass here. Heating issue on average use. When I use screen recorder to record something from browser selecting system sound option , it's can't record it.
"
214,"  It's ok. but not upto the mark.camera is not good, battery life is good.speed is ok
"
215,"  I purchased this phone in Oct 2020 and after using 9 months very smoothly, it accidentally fell and screen damaged completely. We had taken Acko General Insurance so we contacted them and they picked device from home, replaced with new screen and delivered to home !!! This mobile and it's insurance both are truly value for money.
"
216,"  First of all I must thank Amazon for delivering the phone in less than 24 hours. The exchange was hassle free.I have been using Redmi phones since 5 years.  The features present in Redmi 9 are not available at this low price. If you want a all rounder with a limited budget go for it.
"
217,"  Dear All,This is very unfortunate to tell you about this product and Amazon.in that they have promised an extra cash back of Rs 500/- on this product whereas when this product got delivered, there was no cashback given to us. Hence it can be concluded that whatsoever amazon says it does not do and what they do they never say. In my case the product tag line is mentioned as extra cash back of Rs. 500/- whereas the Amazon.in has failed to provide the cashback to us.
"
218,"  Bought this phone for my mom and she uses it quite a lot. She says the battery life is superb but other than that it's an okay device to use. Camera is not good, so is the UI. Has an issue of hanging/freezing frequently.
"
219,"  if your phone is slighty chipped on the corners they void entire warranty and charge you additional service charge of 118 rupees even when you have warranty just to  have a look. worst phone to buy not a common man phone anymore.. worst camera and they have removed the IR blaster
"
220,"  Phone display is big but brightness is not good.  Hence, the user is required to set higher level of brightness for display. There is a yellowish shade in display part. It is a average budget phone.
"
221,"  Got this phone for my grandparents, i was able to get a good deal on it.The phone has a nice big screen, display is average quality,definitly good for media consumption,the ui is clear, MIUI is easy to use.The camera is poor thoughbut if 10K is the budget, this is a go to phone, hands-down.Definitly a good buy!!!!
"
222,"  The photo quality is worse compared to any phone in this budget.The build quality and color are good.Not seen any performance issues.. I'm only dissatisfied with the camera.. Very bad quality of pictures
"
223,"  Don’t buy this product .its worst product of this range.Image quality is below average comparing with the specification.And there is NO RETURN POLICY and REPLACE with same mobile is worst thing about this product or company.😡😠Total waste of money......DON’T buy this mobile ever
"
224,"  Mobile charger getting heat after connecting 5min. I decided to replace the product and i fill all details and send it Amazon now they are saying we didn't receive any returns message from my side..... Better you go to serive center and claim there only we are help less.
"
225,"  Do not Buy 5G wifi not connecting and helpline number is not capable of helping... so its false marketing
"
226,"  The display suddenly goes away.The calls get hung.What's app call gets  disconnected and it does not reconnect again nor allowes other person to call.Given a chance we would like to return but that window is closed nowBattery life is good and camera is not working t bad.Finger print is nit tried so far.
"
227,"  I bought this for my mother in law and she expressed that it is not receiving the signal properly where as my father in law samsung at the same home same location is working all fine with same service provider.
"
228,"  OK, Phone for a regular user.* Use for a month and heating issue if play games or in charging.*Battery is not as per details, only one day use.*Gave it to mother as it was not for a regular user phone who wants To watch Heavy Videos,Surfing, Browsing, Calling. (Forget about heavy Gaming)*Camera is Ok, could be better.* Overall Good Phone for users who just want a smart phone with not heavy usage.
"
229,"  It's a bit laggy when you play games like among us or roblox on it. Else it's totally fair for the price. And the problem which I am facing the most is this phone is very heavy and it's horizontally long and vertically small. This makes it very hard to hold the phone in one hand. Also there is actually only 2 cameras whereas when you look at it from outside it d look like it has 3 cameras. Xiaomi please fix this as no one wants an unnecessary camera just for show off.
"
230,"  While transferring data from my existing Redmi,the new one shows everything recd but when opened I see a good no of apps not transferred .GMail tfd bt wd only 6/7 mails .Uber,Ola,Yahoo mail....and bank apps not moved.Now while downloading a bank's app it is just moving n moving .So slow from my old mobile ! I dnt know what to do with it .
"
231,"  Best of the best under 10 k . I bought this for my dad. he really liked it. Thanx mi
"
